task,architecture,block,metric,kind,B,init_reps
single_shape,bn2_w16_gap,6080,prob_error_reduction,selected,-0.15386074781417847,4
single_shape,bn2_w16_gap,6081,centered_logit_fidelity,selected,0.5477870429140909,4
single_shape,bn2_w16_gap,6081,prob_error_reduction,selected,-0.12197295576334,4
single_shape,bn2_w16_gap,6082,centered_logit_fidelity,selected,-0.3419206765899849,4
single_shape,bn2_w16_gap,6082,prob_error_reduction,selected,-0.25554081052541733,4
single_shape,bn2_w16_gap,6083,centered_logit_fidelity,selected,0.11998940768988534,4
single_shape,bn2_w16_gap,6083,prob_error_reduction,selected,0.06411956250667572,4
single_shape,bn2_w16_gap,6084,centered_logit_fidelity,selected,-0.6443612555634217,4
single_shape,bn2_w16_gap,6084,prob_error_reduction,selected,-0.011842191219329834,4
single_shape,bn2_w16_gap,6085,centered_logit_fidelity,selected,-0.5084154900445906,4
single_shape,bn2_w16_gap,6085,prob_error_reduction,selected,-0.23792669922113419,4
single_shape,bn2_w16_gap,6086,centered_logit_fidelity,selected,-0.47958275214286455,4
single_shape,bn2_w16_gap,6086,prob_error_reduction,selected,-0.10422811657190323,4
single_shape,bn2_w16_gap,6087,centered_logit_fidelity,selected,-0.07459075348376303,4
single_shape,bn2_w16_gap,6087,prob_error_reduction,selected,0.10886940360069275,4
single_shape,bn2_w16_gap,6088,centered_logit_fidelity,selected,-0.7334913983259649,4
single_shape,bn2_w16_gap,6088,prob_error_reduction,selected,-0.36044497787952423,4
single_shape,bn2_w16_gap,6089,centered_logit_fidelity,selected,-0.9024683202082664,4
single_shape,bn2_w16_gap,6089,prob_error_reduction,selected,-0.05251498520374298,4
single_shape,bn2_w16_gap,6090,centered_logit_fidelity,selected,-0.4833251482892569,4
single_shape,bn2_w16_gap,6090,prob_error_reduction,selected,-0.12728850543498993,4
single_shape,bn2_w16_gap,6091,centered_logit_fidelity,selected,-0.34215278932340437,4
single_shape,bn2_w16_gap,6091,prob_error_reduction,selected,0.15122894197702408,4
single_shape,bn2_w16_gap,6092,centered_logit_fidelity,selected,-0.44754570536282384,4
single_shape,bn2_w16_gap,6092,prob_error_reduction,selected,-0.08410349488258362,4
single_shape,bn2_w16_gap,6093,centered_logit_fidelity,selected,-0.5122183038624396,4
single_shape,bn2_w16_gap,6093,prob_error_reduction,selected,-0.1506640762090683,4
single_shape,bn2_w16_gap,6094,centered_logit_fidelity,selected,-0.5437336021819423,4
single_shape,bn2_w16_gap,6094,prob_error_reduction,selected,-0.0726170763373375,4
single_shape,bn2_w16_gap,6095,centered_logit_fidelity,selected,-0.7365087541484929,4
single_shape,bn2_w16_gap,6095,prob_error_reduction,selected,-0.12527741491794586,4
single_shape,bn2_w16_gap,6096,centered_logit_fidelity,selected,0.5402382150372396,4
single_shape,bn2_w16_gap,6096,prob_error_reduction,selected,0.16211054474115372,4
single_shape,bn2_w16_gap,6097,centered_logit_fidelity,selected,-0.5868223881197068,4
single_shape,bn2_w16_gap,6097,prob_error_reduction,selected,-0.13445036113262177,4
single_shape,bn2_w16_gap,6098,centered_logit_fidelity,selected,0.7212913207193835,4
single_shape,bn2_w16_gap,6098,prob_error_reduction,selected,-0.13555733114480972,4
single_shape,bn2_w16_gap,6099,centered_logit_fidelity,selected,-0.1992240960187469,4
single_shape,bn2_w16_gap,6099,prob_error_reduction,selected,-0.1458956003189087,4
single_shape,bn2_w16_gmp,6000,centered_logit_fidelity,selected,0.030200602239296076,4
single_shape,bn2_w16_gmp,6000,prob_error_reduction,selected,0.11251427978277206,4
single_shape,bn2_w16_gmp,6001,centered_logit_fidelity,selected,0.15282157335050822,4
single_shape,bn2_w16_gmp,6001,prob_error_reduction,selected,0.18760359287261963,4
single_shape,bn2_w16_gmp,6002,centered_logit_fidelity,selected,0.0789010380244627,4
single_shape,bn2_w16_gmp,6002,prob_error_reduction,selected,0.23568853735923767,4
