task,architecture,metric,selected_mean,selected_ci_low,selected_ci_high,random_mean,random_ci_low,random_ci_high,selected_minus_random_mean,selected_minus_random_ci_low,selected_minus_random_ci_high
two_concepts,plain2_w64_gap,centered_logit_fidelity,0.22129026847748726,0.20219831108130665,0.24038222587366787,0.01817957076123299,0.015359633670789722,0.020999507851676258,0.20311069771625434,0.18395154769447616,0.22226984773803252
two_concepts,plain2_w64_gap,prob_error_reduction,0.3247428636625409,0.3045415780500351,0.3449441492750467,0.20656548337166897,0.20117842427167187,0.21195254247166606,0.11817738029087195,0.09777565197025323,0.13857910861149067
two_concepts,plain2_w64_gmp,centered_logit_fidelity,-0.00720534866357005,-0.011271506358061067,-0.003139190969079033,0.004320182851468393,0.00355098099046509,0.005089384712471695,-0.01152553151503844,-0.015622560870412139,-0.007428502159664739
two_concepts,plain2_w64_gmp,prob_error_reduction,-0.002051385510712862,-0.015211730896885801,0.011108959875460078,-0.030977984525961802,-0.03361042927884834,-0.02834553977307527,0.02892659901524894,0.015140910847510186,0.04271228718298769
two_concepts,plain4_w16_gap,centered_logit_fidelity,0.02770863843959246,0.013847014651097864,0.04157026222808706,0.008932713043409715,0.006526911139701475,0.011338514947117954,0.018775925396182745,0.005170003290879814,0.03238184750148568
two_concepts,plain4_w16_gap,prob_error_reduction,0.11600727666169405,0.09919975921139816,0.13281479411198993,0.03077253755298443,0.023492622222354886,0.038052452883613974,0.08523473910870961,0.06897681804140607,0.10149266017601316
two_concepts,plain4_w16_gmp,centered_logit_fidelity,-0.01676115952108384,-0.021115810811233263,-0.012406508230934418,0.002812848291362209,0.00196704185011967,0.0036586547326047476,-0.01957400781244605,-0.023971766020783866,-0.015176249604108233
two_concepts,plain4_w16_gmp,prob_error_reduction,-0.05613531241193414,-0.06753821699769454,-0.04473240782617374,-0.007969111364800482,-0.009905376381319178,-0.006032846348281788,-0.04816620104713366,-0.059589585024704864,-0.03674281706956245
two_concepts,plain4_w64_gap,centered_logit_fidelity,0.05112052527595254,0.040806171197471555,0.06143487935443352,0.003992441362054909,0.0021501206945173266,0.005834762029592491,0.04712808391389764,0.03682106044330235,0.05743510738449293
two_concepts,plain4_w64_gap,prob_error_reduction,0.0013092977134510876,-0.014991106256373458,0.017609701683275632,-0.0024644243204966186,-0.009838565622512027,0.00490971698151879,0.0037737220339477064,-0.012715156830784082,0.020262600898679494
two_concepts,plain4_w64_gmp,centered_logit_fidelity,-0.004858616286822326,-0.006778172364647223,-0.0029390602089974286,0.0003225411915804924,4.3730355320573545e-05,0.0006013520278404113,-0.00518115747840282,-0.0071226916415164454,-0.0032396233152891954
two_concepts,plain4_w64_gmp,prob_error_reduction,-0.023797275368124246,-0.02816944629525433,-0.019425104440994163,-0.004033037777990103,-0.004879173818532618,-0.0031869017374475876,-0.019764237590134143,-0.024255238578976705,-0.015273236601291582
two_concepts,res4_w16_gap,centered_logit_fidelity,0.04435178861518724,0.02762266010043448,0.061080917129939995,0.008334212476745801,0.0062040102000753255,0.010464414753416277,0.036017576138441434,0.019664789807962872,0.05237036246892
two_concepts,res4_w16_gap,prob_error_reduction,0.09740101331844926,0.07556966375442584,0.11923236288247269,0.025609170515090228,0.01684489211375086,0.0343734489164296,0.07179184280335903,0.04991228080587545,0.0936714048008426
two_concepts,res4_w16_gmp,centered_logit_fidelity,-0.017473830637360074,-0.0216227360193522,-0.013324925255367947,0.0016894249544678512,0.0010247462100899652,0.002354103698845737,-0.019163255591827924,-0.023421181384150565,-0.014905329799505282
two_concepts,res4_w16_gmp,prob_error_reduction,-0.04480225579813123,-0.05537826465113645,-0.03422624694512601,-0.008209966595750302,-0.009899353929998087,-0.006520579261502517,-0.036592289202380925,-0.047276087372890706,-0.025908491031871143
two_concepts,tiny_gap,centered_logit_fidelity,0.08492618728756007,0.07643302844349793,0.09341934613162221,-0.006559075817378587,-0.009425439480658987,-0.003692712154098186,0.09148526310493868,0.0827960073341746,0.10017451887570276
two_concepts,tiny_gap,prob_error_reduction,0.09435830475311377,0.09014539570518515,0.09857121380104239,0.07554617848253656,0.07257627297842502,0.0785160839866481,0.01881212627057721,0.016965366400467106,0.02065888614068731
two_concepts,tiny_gmp,centered_logit_fidelity,0.1455765030257962,0.13516561384630135,0.15598739220529104,0.011425918961277442,0.00884304434855673,0.014008793573998153,0.1341505840645188,0.12413600710896691,0.14416516102007068
two_concepts,tiny_gmp,prob_error_reduction,0.8315121474791886,0.8122263136917091,0.8507979812666681,0.2961524826371897,0.28956711942833907,0.3027378458460403,0.5353596648419989,0.5153099383170825,0.5554093913669154
