task,architecture,metric,n,mean,sd,ci_low,ci_high,t_stat,p_two_sided
single_shape,plain4_w16_gap,raw_logit_fidelity,100,0.15154809378344652,0.14752930588753016,0.122275078823665,0.18082110874322804,10.272406073609545,2.786466258165408e-17
single_shape,plain4_w16_gmp,agreement,100,0.007903646120394115,0.015626239146337085,0.004803061260023584,0.011004230980764647,5.057932395874533,1.9510095557154172e-06
single_shape,plain4_w16_gmp,centered_logit_error_reduction,100,88.36636762619018,29.929132520691663,82.42777841680692,94.30495683557345,29.52520176289695,7.051778223953796e-51
single_shape,plain4_w16_gmp,centered_logit_fidelity,100,0.01434259979926798,0.012490009332195372,0.011864310975026519,0.016820888623509438,11.48325787259198,6.594242645278718e-20
single_shape,plain4_w16_gmp,cf_accuracy,100,0.007869466530974024,0.015651853966750173,0.0047637991345159435,0.010975133927432105,5.0278175018061315,2.2111983171820717e-06
single_shape,plain4_w16_gmp,prob_error_reduction,100,0.011542917266488074,0.02949415884303185,0.005690636271575452,0.017395198261400697,3.9136282298876783,0.0001669800657146141
single_shape,plain4_w16_gmp,prob_fidelity,100,0.005645351846446223,0.014790823229684504,0.0027105316284204077,0.008580172064472038,3.8167935339232906,0.00023563813377628715
single_shape,plain4_w16_gmp,raw_logit_error_reduction,100,96.20522855758666,36.278511378012496,89.00678483212936,103.40367228304397,26.518516031474835,8.956214106284153e-47
single_shape,plain4_w16_gmp,raw_logit_fidelity,100,0.014394748713531653,0.012204023127516856,0.01197320575681449,0.016816291670248815,11.795084754530896,1.4089660269946368e-20
single_shape,plain4_w64_gap,agreement,100,0.04014160340826493,0.04921330162788723,0.030376616674906,0.04990659014162385,8.156657261442152,1.1070769752169754e-12
single_shape,plain4_w64_gap,centered_logit_error_reduction,100,524.7769080257416,314.02870831787465,462.46679939283024,587.0870166586529,16.711112523334577,1.4146481582188634e-30
single_shape,plain4_w64_gap,centered_logit_fidelity,100,0.08076643459904771,0.09701616270255337,0.06151632313782048,0.10001654606027494,8.325049388592447,4.805085707088127e-13
single_shape,plain4_w64_gap,cf_accuracy,100,0.04073242360347649,0.04922723476364276,0.030964672233702074,0.050500174973250905,8.274367593273755,6.179032594625977e-13
single_shape,plain4_w64_gap,prob_error_reduction,100,0.09225429391488432,0.09939850423616403,0.07253147420811122,0.11197711362165742,9.281255751665482,4.044275629984201e-15
