task,metric,family,contrast,alternative_architecture,reference_architecture,n,mean,sd,ci_low,ci_high,t_stat,p_two_sided,p_holm_within_factor_family
two_concepts,centered_logit_fidelity,width,depth4 GAP: w64 - w16,plain4_w64_gap,plain4_w16_gap,100,0.023411886836360085,0.08108832864432938,0.007322203209171204,0.03950157046354896,2.88720796540888,0.0047729872730399876,0.009545974546079975
two_concepts,centered_logit_fidelity,residual,GMP: residual4 - plain4,res4_w16_gmp,plain4_w16_gmp,100,-0.0007126711162762321,0.025147137673691814,-0.005702408801877904,0.00427706656932544,-0.28340049095202097,0.7774616399734823,0.7774616399734823
two_concepts,centered_logit_fidelity,residual,GAP: residual4 - plain4,res4_w16_gap,plain4_w16_gap,100,0.016643150175594777,0.09938529090459033,-0.003077047719528773,0.036363348070718324,1.6746089913418036,0.09716729106380283,0.19433458212760565
two_concepts,centered_logit_fidelity,batchnorm,depth2 GMP: BN - noBN,bn2_w16_gmp,plain2_w16_gmp,100,0.033181006858405214,0.0715735696726777,0.01897925783539736,0.047382755881413066,4.635930135963533,1.0862632113475321e-05,1.0862632113475321e-05
two_concepts,centered_logit_fidelity,batchnorm,depth2 GAP: BN - noBN,bn2_w16_gap,plain2_w16_gap,100,-0.23178977582590618,0.297470570376588,-0.29081439065983683,-0.17276516099197556,-7.79202378011606,6.676356766515814e-12,2.6705427066063255e-11
two_concepts,centered_logit_fidelity,batchnorm,depth4 GMP: BN - noBN,bn4_w16_gmp,plain4_w16_gmp,100,0.02993746431895892,0.0397794014532355,0.022044368050211795,0.03783056058770604,7.525870984799326,2.4514478357338407e-11,4.9028956714676814e-11
two_concepts,centered_logit_fidelity,batchnorm,depth4 GAP: BN - noBN,bn4_w16_gap,plain4_w16_gap,100,0.1167939209002585,0.14999093220901605,0.08703246587292063,0.14655537592759638,7.7867321164124315,6.851923197281917e-12,2.6705427066063255e-11
two_concepts,prob_error_reduction,pooling,tiny: GAP - GMP,tiny_gap,tiny_gmp,100,-0.7371538427260748,0.09841834146733043,-0.7566821768747245,-0.717625508577425,-74.90004726108597,5.5068620763225294e-89,4.4054896610580235e-88
two_concepts,prob_error_reduction,pooling,plain2_w16: GAP - GMP,plain2_w16_gap,plain2_w16_gmp,100,0.3928567535476759,0.11381800668378686,0.3702727917219013,0.4154407153734505,34.516221553512544,5.291720058067163e-57,3.704204040647014e-56
two_concepts,prob_error_reduction,pooling,plain4_w16: GAP - GMP,plain4_w16_gap,plain4_w16_gmp,100,0.1721425890736282,0.10912901907495111,0.15048902411777665,0.19379615402947975,15.774226739397207,9.132108813949617e-29,4.566054406974808e-28
two_concepts,prob_error_reduction,pooling,plain2_w64: GAP - GMP,plain2_w64_gap,plain2_w64_gmp,100,0.3267942491732538,0.12218797337093244,0.3025495043689944,0.35103899397751315,26.745205780702108,4.2710423430802355e-47,2.5626254058481415e-46
two_concepts,prob_error_reduction,pooling,plain4_w64: GAP - GMP,plain4_w64_gap,plain4_w64_gmp,100,0.025106573081575333,0.08428241363270722,0.008383113696511752,0.04183003246663891,2.978862611954471,0.0036389955484746306,0.007277991096949261
two_concepts,prob_error_reduction,pooling,res4_w16: GAP - GMP,res4_w16_gap,res4_w16_gmp,100,0.1422032691165805,0.1244392939862021,0.1175118134594937,0.1668947247736673,11.427521368961486,8.695229361811403e-20,3.4780917447245613e-19
two_concepts,prob_error_reduction,pooling,bn2_w16: GAP - GMP,bn2_w16_gap,bn2_w16_gmp,100,-0.05170271381968632,0.20794336764852842,-0.09296318932550399,-0.010442238313868653,-2.4863843653371847,0.014578497676073594,0.014578497676073594
two_concepts,prob_error_reduction,pooling,bn4_w16: GAP - GMP,bn4_w16_gap,bn4_w16_gmp,100,0.07804880365729332,0.13163345288706615,0.05192987079585645,0.10416773651873018,5.929252932706601,4.463650525326625e-08,1.3390951575979874e-07
two_concepts,prob_error_reduction,depth,GMP: plain2 - tiny,plain2_w16_gmp,tiny_gmp,100,-0.8895957020599963,0.1384789295805625,-0.9170729260111257,-0.8621184781088669,-64.24050971180122,1.6192013529920536e-82,6.476805411968214e-82
two_concepts,prob_error_reduction,depth,GAP: plain2 - tiny,plain2_w16_gap,tiny_gap,100,0.24041489421375445,0.068666054231055,0.2267900593333733,0.2540397290941356,35.01219007062504,1.4327742907447602e-57,4.2983228722342806e-57
