task,architecture,metric,k,n,mean,sd,ci_low,ci_high
single_shape,plain4_w64_gap,cf_accuracy,15,100,0.013395181596279145,0.022258686296918243,0.008978575329240197,0.017811787863318093
single_shape,plain4_w64_gap,cf_accuracy,16,100,0.003271484375,0.0179899965440173,-0.0002981212351620189,0.0068410899851620195
single_shape,plain4_w64_gap,prob_error_reduction,1,100,-0.038176316618919376,0.05159016469646685,-0.04841292455150584,-0.02793970868633291
single_shape,plain4_w64_gap,prob_error_reduction,2,100,-0.0410850390791893,0.10071935032130554,-0.06106994330521983,-0.021100134853158765
single_shape,plain4_w64_gap,prob_error_reduction,3,100,-0.12715404719114304,0.11704601486675502,-0.15037851587256815,-0.10392957850971793
single_shape,plain4_w64_gap,prob_error_reduction,4,100,-0.08271538123488426,0.10430861255588027,-0.103412472957868,-0.06201828951190051
single_shape,plain4_w64_gap,prob_error_reduction,5,100,0.02225766897201538,0.10038961457069215,0.0023381914725759644,0.04217714647145479
single_shape,plain4_w64_gap,prob_error_reduction,6,100,0.08609111025929451,0.13028400273966223,0.06023993758363761,0.11194228293495143
single_shape,plain4_w64_gap,prob_error_reduction,7,100,0.10898054633289575,0.11045724718267302,0.08706343210435266,0.13089766056143884
single_shape,plain4_w64_gap,prob_error_reduction,8,100,0.18796261336654424,0.1352349775257655,0.16112905988114104,0.21479616685194744
single_shape,plain4_w64_gap,prob_error_reduction,9,100,0.04018275555223227,0.1122278672321909,0.01791431189198197,0.062451199212482565
single_shape,plain4_w64_gap,prob_error_reduction,10,100,0.06177609829232097,0.12644921284289104,0.03668583112855864,0.0868663654560833
single_shape,plain4_w64_gap,prob_error_reduction,11,100,0.06247415981255472,0.11484734357398474,0.03968595521613773,0.08526236440897171
single_shape,plain4_w64_gap,prob_error_reduction,12,100,0.047282539587467906,0.113083115191642,0.02484439617732235,0.06972068299761347
single_shape,plain4_w64_gap,prob_error_reduction,13,100,0.06613884623395279,0.12494464051025382,0.041347118862921126,0.09093057360498445
single_shape,plain4_w64_gap,prob_error_reduction,14,100,0.1121181225249893,0.10010225976065205,0.09225566245407003,0.13198058259590856
single_shape,plain4_w64_gap,prob_error_reduction,15,100,0.037081431201381805,0.050429088256492956,0.02707520602422372,0.047087656378539886
single_shape,plain4_w64_gap,prob_error_reduction,16,100,0.022119674682617187,0.04765675800373879,0.01266353997375017,0.0315758093914842
single_shape,plain4_w64_gap,prob_fidelity,1,100,-0.019592728051044943,0.02584045912122269,-0.024720035753555535,-0.01446542034853435
single_shape,plain4_w64_gap,prob_fidelity,2,100,-0.02216399785783373,0.05021087022490745,-0.032126923843250436,-0.012201071872417021
single_shape,plain4_w64_gap,prob_fidelity,3,100,-0.06642860970857023,0.05855196907792437,-0.07804659066788835,-0.054810628749252105
single_shape,plain4_w64_gap,prob_fidelity,4,100,-0.04524393585742561,0.05229997617853018,-0.05562138578752615,-0.03486648592732507
single_shape,plain4_w64_gap,prob_fidelity,5,100,0.006875195800908353,0.05030439455378725,-0.003106287440383256,0.01685667904219996
single_shape,plain4_w64_gap,prob_fidelity,6,100,0.038196599943413616,0.06599772728932615,0.025101219018047773,0.05129198086877946
single_shape,plain4_w64_gap,prob_fidelity,7,100,0.04859726584287469,0.05675486456462186,0.03733586940746329,0.05985866227828608
single_shape,plain4_w64_gap,prob_fidelity,8,100,0.08797713373628074,0.0691534024070799,0.07425559840468025,0.10169866906788123
single_shape,plain4_w64_gap,prob_fidelity,9,100,0.013253366360968436,0.05636088033481759,0.0020701449443005747,0.0244365877776363
single_shape,plain4_w64_gap,prob_fidelity,10,100,0.02379549643122322,0.0624065590710346,0.011412681191330626,0.03617831167111581
single_shape,plain4_w64_gap,prob_fidelity,11,100,0.022880728621765035,0.058959737211473524,0.01118183761815641,0.03457961962537366
single_shape,plain4_w64_gap,prob_fidelity,12,100,0.014662541827661442,0.05387592493225217,0.003972389474364237,0.025352694180958646
single_shape,plain4_w64_gap,prob_fidelity,13,100,0.023306259337306994,0.05925835777472421,0.011548115535328939,0.03506440313928505
single_shape,plain4_w64_gap,prob_fidelity,14,100,0.045794708267614316,0.04979481124687138,0.0359143374099055,0.05567507912532313
single_shape,plain4_w64_gap,prob_fidelity,15,100,0.007670792528489226,0.014247140190693449,0.004843850820689019,0.010497734236289434
single_shape,plain4_w64_gap,prob_fidelity,16,100,0.0,0.0,0.0,0.0
single_shape,plain4_w64_gap,raw_logit_error_reduction,1,100,79.61373962402344,314.74042075109594,17.162411803646847,142.06506744440003
