task,architecture,treatment,k,metric,control,n,mean,sd,ci_low,ci_high
two_concepts,res4_w16_gap,retention_1,4,centered_logit_fidelity,random,100,-0.264934242688006,0.15352172306994705,-0.2953962832232205,-0.23447220215279158
two_concepts,res4_w16_gap,retention_1,5,centered_logit_fidelity,random,100,-0.17318658086752922,0.13699449536960934,-0.2003692608661698,-0.14600390086888865
two_concepts,res4_w16_gap,retention_1,6,centered_logit_fidelity,random,100,-0.12077828170966284,0.11927936028574744,-0.1444458945749992,-0.09711066884432647
two_concepts,res4_w16_gap,retention_1,7,centered_logit_fidelity,random,100,-0.09165232954356789,0.09515756796349321,-0.11053365548605787,-0.07277100360107791
two_concepts,res4_w16_gap,retention_1,8,centered_logit_fidelity,random,100,-0.07553592279730596,0.07581865275998957,-0.09057998840258752,-0.060491857192024406
two_concepts,res4_w16_gap,retention_1,9,centered_logit_fidelity,random,100,-0.06803371476415924,0.06345687202946976,-0.08062493488171163,-0.05544249464660686
two_concepts,res4_w16_gap,retention_1,10,centered_logit_fidelity,random,100,-0.06844525176504275,0.06002749250825413,-0.0803560085846532,-0.0565344949454323
two_concepts,res4_w16_gap,retention_1,11,centered_logit_fidelity,random,100,-0.06960298125757286,0.05118024439613318,-0.07975825210928718,-0.05944771040585854
two_concepts,res4_w16_gap,retention_1,12,centered_logit_fidelity,random,100,-0.05800174844739491,0.04151973388948455,-0.06624016442828214,-0.04976333246650768
two_concepts,res4_w16_gap,retention_1,13,centered_logit_fidelity,random,100,-0.04303084813927332,0.0341806773728599,-0.049813036085266806,-0.03624866019327983
two_concepts,res4_w16_gap,retention_1,14,centered_logit_fidelity,random,100,-0.02400677872312016,0.023338733643668473,-0.028637689815552883,-0.019375867630687438
two_concepts,res4_w16_gap,retention_1,15,centered_logit_fidelity,random,100,-0.003410659689682981,0.010564831338858794,-0.005506951433004486,-0.001314367946361477
two_concepts,res4_w16_gap,retention_1,16,centered_logit_fidelity,random,100,0.0,0.0,0.0,0.0
two_concepts,res4_w16_gmp,release_default,1,centered_logit_fidelity,random,100,0.004655319149556886,0.03750212294234358,-0.0027859156567107152,0.012096553955824487
two_concepts,res4_w16_gmp,release_default,2,centered_logit_fidelity,random,100,0.01588993232166651,0.05527266183760962,0.0049226370639176426,0.026857227579415374
two_concepts,res4_w16_gmp,release_default,3,centered_logit_fidelity,random,100,0.043454577586230246,0.05442338629068043,0.03265579702215986,0.054253358150300635
two_concepts,res4_w16_gmp,release_default,4,centered_logit_fidelity,random,100,0.05757134211559573,0.05305276477168969,0.047044522596744395,0.06809816163444707
two_concepts,res4_w16_gmp,release_default,5,centered_logit_fidelity,random,100,0.0555994628536794,0.052088154133382934,0.04526404301284895,0.06593488269450985
two_concepts,res4_w16_gmp,release_default,6,centered_logit_fidelity,random,100,0.049849997717974846,0.04562992673874433,0.04079603030450857,0.058903965131441124
two_concepts,res4_w16_gmp,release_default,7,centered_logit_fidelity,random,100,0.03526519521212271,0.043287001893211934,0.026676114918136262,0.04385427550610915
two_concepts,res4_w16_gmp,release_default,8,centered_logit_fidelity,random,100,0.015471720030774657,0.04054071695308091,0.007427562249997658,0.023515877811551657
two_concepts,res4_w16_gmp,release_default,9,centered_logit_fidelity,random,100,0.0002180416289247286,0.0372158935843228,-0.00716639906292022,0.007602482320769677
two_concepts,res4_w16_gmp,release_default,10,centered_logit_fidelity,random,100,-0.016926580643145953,0.03507213396272011,-0.023885652916859845,-0.00996750836943206
two_concepts,res4_w16_gmp,release_default,11,centered_logit_fidelity,random,100,-0.026832609846788633,0.028591093619522234,-0.03250570310921366,-0.021159516584363606
two_concepts,res4_w16_gmp,release_default,12,centered_logit_fidelity,random,100,-0.023195997896308912,0.021804134497889666,-0.0275224112248472,-0.018869584567770624
two_concepts,res4_w16_gmp,release_default,13,centered_logit_fidelity,random,100,-0.01566401463016576,0.01492749375539854,-0.01862595324558198,-0.012702076014749543
two_concepts,res4_w16_gmp,release_default,14,centered_logit_fidelity,random,100,-0.009795177148605122,0.009285454101391092,-0.011637612691720905,-0.007952741605489339
two_concepts,res4_w16_gmp,release_default,15,centered_logit_fidelity,random,100,-0.0042667217484472246,0.00355708734295069,-0.004972525048862849,-0.0035609184480316
two_concepts,res4_w16_gmp,release_default,16,centered_logit_fidelity,random,100,0.0,0.0,0.0,0.0
two_concepts,res4_w16_gmp,retention_1,1,centered_logit_fidelity,random,100,-0.006099680796700258,0.034978910347689136,-0.013040255482690891,0.0008408938892903737
two_concepts,res4_w16_gmp,retention_1,2,centered_logit_fidelity,random,100,0.0012545858106905526,0.05359122209182758,-0.009379075322393127,0.01188824694377423
two_concepts,res4_w16_gmp,retention_1,3,centered_logit_fidelity,random,100,0.039749278800523744,0.053573281381954226,0.029119177493505486,0.050379380107542004
two_concepts,res4_w16_gmp,retention_1,4,centered_logit_fidelity,random,100,0.06675253871237267,0.05305820025456565,0.05622464067579508,0.07728043674895027
two_concepts,res4_w16_gmp,retention_1,5,centered_logit_fidelity,random,100,0.06261447510430587,0.05041107568053828,0.05261182401300289,0.07261712619560885
two_concepts,res4_w16_gmp,retention_1,6,centered_logit_fidelity,random,100,0.054334461331995015,0.04587381455188896,0.04523210128521604,0.06343682137877399
two_concepts,res4_w16_gmp,retention_1,7,centered_logit_fidelity,random,100,0.042647950004890856,0.04396422651018811,0.03392449365440084,0.05137140635538087
two_concepts,res4_w16_gmp,retention_1,8,centered_logit_fidelity,random,100,0.019226688160420443,0.04067298362518626,0.011156285802351309,0.027297090518489577
two_concepts,res4_w16_gmp,retention_1,9,centered_logit_fidelity,random,100,-0.0026551275266492426,0.03746015448255524,-0.010088034879982445,0.00477777982668396
two_concepts,res4_w16_gmp,retention_1,10,centered_logit_fidelity,random,100,-0.022457286703141364,0.03676681921226606,-0.02975262129683051,-0.015161952109452217
two_concepts,res4_w16_gmp,retention_1,11,centered_logit_fidelity,random,100,-0.04369580051143613,0.03362354933422602,-0.05036744216758347,-0.037024158855288786
two_concepts,res4_w16_gmp,retention_1,12,centered_logit_fidelity,random,100,-0.03491571437926613,0.025809580090067133,-0.04003689501206998,-0.029794533746462286
two_concepts,res4_w16_gmp,retention_1,13,centered_logit_fidelity,random,100,-0.022215730101757182,0.016898199866558616,-0.025568699564409277,-0.018862760639105088
two_concepts,res4_w16_gmp,retention_1,14,centered_logit_fidelity,random,100,-0.010975164644741265,0.010994016309108625,-0.013156615997396351,-0.008793713292086178
two_concepts,res4_w16_gmp,retention_1,15,centered_logit_fidelity,random,100,-0.006179954925687769,0.004174486415055563,-0.007008263596579815,-0.005351646254795723
two_concepts,res4_w16_gmp,retention_1,16,centered_logit_fidelity,random,100,0.0,0.0,0.0,0.0
two_concepts,tiny_gap,release_default,1,centered_logit_fidelity,random,100,0.16620223210678284,0.050451042359292306,0.1561916507593316,0.17621281345423406
two_concepts,tiny_gap,release_default,2,centered_logit_fidelity,random,100,0.3116154608342017,0.062786397183556,0.2991572774721368,0.32407364419626666
two_concepts,tiny_gap,release_default,3,centered_logit_fidelity,random,100,0.39086658935553203,0.05898165238578612,0.3791633499058866,0.40256982880517744
two_concepts,tiny_gap,release_default,4,centered_logit_fidelity,random,100,0.37773260124667074,0.05014787106544224,0.3677821756612687,0.3876830268320728
two_concepts,tiny_gap,release_default,5,centered_logit_fidelity,random,100,0.3303601341301141,0.04414386181878074,0.3216010342371828,0.33911923402304545
two_concepts,tiny_gap,release_default,6,centered_logit_fidelity,random,100,0.28325012718629505,0.03874233145016838,0.27556280810555467,0.29093744626703544
two_concepts,tiny_gap,release_default,7,centered_logit_fidelity,random,100,0.24138782832159544,0.03170342614390398,0.23509718076378522,0.24767847587940567
two_concepts,tiny_gap,release_default,8,centered_logit_fidelity,random,100,0.19814261629783675,0.02614560376127939,0.19295476127857752,0.20333047131709597
two_concepts,tiny_gap,release_default,9,centered_logit_fidelity,random,100,0.15978789261074755,0.023145853468246744,0.15519525312968452,0.16438053209181058
two_concepts,tiny_gap,release_default,10,centered_logit_fidelity,random,100,0.12202940050488063,0.019833371154226672,0.11809402937974847,0.1259647716300128
two_concepts,tiny_gap,release_default,11,centered_logit_fidelity,random,100,0.09091022432183422,0.01833507363385481,0.08727214793054623,0.09454830071312222
two_concepts,tiny_gap,release_default,12,centered_logit_fidelity,random,100,0.06131561569282736,0.013510282623530136,0.05863488251259417,0.06399634887306055
two_concepts,tiny_gap,release_default,13,centered_logit_fidelity,random,100,0.036823811039428764,0.009447759993445675,0.03494917048607728,0.03869845159278025
two_concepts,tiny_gap,release_default,14,centered_logit_fidelity,random,100,0.019084645958362626,0.006479389106378308,0.017798994588282605,0.020370297328442647
two_concepts,tiny_gap,release_default,15,centered_logit_fidelity,random,100,0.007870300369764766,0.003220737549667068,0.0072312361654987365,0.008509364574030795
two_concepts,tiny_gap,release_default,16,centered_logit_fidelity,random,100,0.0,0.0,0.0,0.0
two_concepts,tiny_gap,retention_1,1,centered_logit_fidelity,random,100,-0.06935680170617496,0.019490729998986378,-0.07322418539245323,-0.06548941801989669
two_concepts,tiny_gap,retention_1,2,centered_logit_fidelity,random,100,-0.14204197540223132,0.0259306032707909,-0.14718716965970788,-0.13689678114475476
two_concepts,tiny_gap,retention_1,3,centered_logit_fidelity,random,100,-0.2102615546442673,0.029159430915260305,-0.21604741835633454,-0.20447569093220005
two_concepts,tiny_gap,retention_1,4,centered_logit_fidelity,random,100,-0.2657150056909936,0.04079145097742304,-0.2738089145419145,-0.25762109684007267
two_concepts,tiny_gap,retention_1,5,centered_logit_fidelity,random,100,-0.20236538043504892,0.09261649063848156,-0.22074250150718092,-0.18398825936291693
two_concepts,tiny_gap,retention_1,6,centered_logit_fidelity,random,100,-0.14280711355930176,0.029005890976713324,-0.14856251161648795,-0.13705171550211556
two_concepts,tiny_gap,retention_1,7,centered_logit_fidelity,random,100,-0.030095266286738566,0.08143202558926316,-0.04625314684436205,-0.01393738572911508
two_concepts,tiny_gap,retention_1,8,centered_logit_fidelity,random,100,-0.03059677302376697,0.022827408825628358,-0.035126226179027484,-0.026067319868506453
two_concepts,tiny_gap,retention_1,9,centered_logit_fidelity,random,100,-0.006026131949829587,0.025954268460911086,-0.011176021894446036,-0.0008762420052131382
two_concepts,tiny_gap,retention_1,10,centered_logit_fidelity,random,100,-0.008369436615710126,0.023420985000953982,-0.013016668161884537,-0.003722205069535715
two_concepts,tiny_gap,retention_1,11,centered_logit_fidelity,random,100,-0.011458552522129399,0.01894992356372785,-0.015218628478770969,-0.00769847656548783
two_concepts,tiny_gap,retention_1,12,centered_logit_fidelity,random,100,-0.017676664627710337,0.015611466965960049,-0.020774318367009267,-0.014579010888411407
two_concepts,tiny_gap,retention_1,13,centered_logit_fidelity,random,100,0.018038874622280293,0.008306844849360324,0.016390616385850387,0.0196871328587102
two_concepts,tiny_gap,retention_1,14,centered_logit_fidelity,random,100,0.012134562782851615,0.004745513516371154,0.011192949946535004,0.013076175619168226
two_concepts,tiny_gap,retention_1,15,centered_logit_fidelity,random,100,0.0056708143596500785,0.0017769484298857756,0.005318229239982656,0.006023399479317501
two_concepts,tiny_gap,retention_1,16,centered_logit_fidelity,random,100,0.0,0.0,0.0,0.0
two_concepts,tiny_gmp,release_default,1,centered_logit_fidelity,random,100,0.2972881868785425,0.058045129914727184,0.28577077380515875,0.3088055999519263
two_concepts,tiny_gmp,release_default,2,centered_logit_fidelity,random,100,0.47446720235988266,0.05775554025041606,0.46300725015859195,0.48592715456117336
two_concepts,tiny_gmp,release_default,3,centered_logit_fidelity,random,100,0.5332389505055001,0.04745190146343779,0.5238234637786239,0.5426544372323763
two_concepts,tiny_gmp,release_default,4,centered_logit_fidelity,random,100,0.514842665861003,0.03884474873849796,0.5071350249682988,0.5225503067537073
two_concepts,tiny_gmp,release_default,5,centered_logit_fidelity,random,100,0.4653751245590642,0.034961894348620966,0.4584379262164535,0.4723123229016749
two_concepts,tiny_gmp,release_default,6,centered_logit_fidelity,random,100,0.4036500072268717,0.031437380283859444,0.3974121489396015,0.40988786551414197
two_concepts,tiny_gmp,release_default,7,centered_logit_fidelity,random,100,0.3453479907919228,0.02830776094342331,0.3397311168793832,0.3509648647044624
two_concepts,tiny_gmp,release_default,8,centered_logit_fidelity,random,100,0.28883369913972023,0.026941216127369726,0.2834879773660922,0.29417942091334826
two_concepts,tiny_gmp,release_default,9,centered_logit_fidelity,random,100,0.2362712103338026,0.023331726843672823,0.23164168954250267,0.24090073112510255
two_concepts,tiny_gmp,release_default,10,centered_logit_fidelity,random,100,0.18479817774723015,0.01953800895267678,0.18092141289081531,0.18867494260364498
two_concepts,tiny_gmp,release_default,11,centered_logit_fidelity,random,100,0.13862426369016098,0.017138147707273857,0.13522368337020452,0.14202484401011745
two_concepts,tiny_gmp,release_default,12,centered_logit_fidelity,random,100,0.0996954167759169,0.013217322772316048,0.09707281318597502,0.10231802036585877
two_concepts,tiny_gmp,release_default,13,centered_logit_fidelity,random,100,0.06646839825014599,0.010429946163950592,0.06439887065188153,0.06853792584841044
two_concepts,tiny_gmp,release_default,14,centered_logit_fidelity,random,100,0.038895578552956445,0.0073896379488579,0.03742931406453543,0.04036184304137746
two_concepts,tiny_gmp,release_default,15,centered_logit_fidelity,random,100,0.01665676546090107,0.0044315634498676626,0.01577744712897525,0.017536083792826892
two_concepts,tiny_gmp,release_default,16,centered_logit_fidelity,random,100,0.0,0.0,0.0,0.0
two_concepts,tiny_gmp,retention_1,1,centered_logit_fidelity,random,100,0.48419325783994205,0.06072954605224396,0.472143198366041,0.4962433173138431
two_concepts,tiny_gmp,retention_1,2,centered_logit_fidelity,random,100,0.6219529998913065,0.04718576574946724,0.6125903202639386,0.6313156795186744
two_concepts,tiny_gmp,retention_1,3,centered_logit_fidelity,random,100,0.6182953622231454,0.04190510048023668,0.6099804811500636,0.6266102432962272
two_concepts,tiny_gmp,retention_1,4,centered_logit_fidelity,random,100,0.5631639928840854,0.035422622226382955,0.5561353761349622,0.5701926096332085
two_concepts,tiny_gmp,retention_1,5,centered_logit_fidelity,random,100,0.49623551285841244,0.037482574963549745,0.48879815679523403,0.5036728689215908
two_concepts,tiny_gmp,retention_1,6,centered_logit_fidelity,random,100,0.4263138974793663,0.03508165287906305,0.4193529364461356,0.43327485851259706
two_concepts,tiny_gmp,retention_1,7,centered_logit_fidelity,random,100,0.36541312117317604,0.03389945729137185,0.35868673339246404,0.37213950895388803
two_concepts,tiny_gmp,retention_1,8,centered_logit_fidelity,random,100,0.3066020724804237,0.03505751011377978,0.2996459018956063,0.3135582430652411
two_concepts,tiny_gmp,retention_1,9,centered_logit_fidelity,random,100,0.2533618512228672,0.03140579529121371,0.2471302600833793,0.2595934423623551
two_concepts,tiny_gmp,retention_1,10,centered_logit_fidelity,random,100,0.2004947252885416,0.02659380511064063,0.19521793739776974,0.20577151317931344
two_concepts,tiny_gmp,retention_1,11,centered_logit_fidelity,random,100,0.15339353880822926,0.02426070308539417,0.14857968897628485,0.15820738864017367
two_concepts,tiny_gmp,retention_1,12,centered_logit_fidelity,random,100,0.11272306600649157,0.018947144057347765,0.10896354156421764,0.1164825904487655
two_concepts,tiny_gmp,retention_1,13,centered_logit_fidelity,random,100,0.07711177929139375,0.015468714898503835,0.07404245065930688,0.08018110792348061
two_concepts,tiny_gmp,retention_1,14,centered_logit_fidelity,random,100,0.046695586695967656,0.010623177157599006,0.0445877178763863,0.04880345551554901
two_concepts,tiny_gmp,retention_1,15,centered_logit_fidelity,random,100,0.02102533908660635,0.007143185347138333,0.01960797614119479,0.02244270203201791
two_concepts,tiny_gmp,retention_1,16,centered_logit_fidelity,random,100,0.0,0.0,0.0,0.0
single_shape,bn2_w16_gap,release_default,1,centered_logit_fidelity,energy,100,0.01904825587866691,0.13576270847103777,-0.007890010875484892,0.045986522632818716
single_shape,bn2_w16_gap,release_default,2,centered_logit_fidelity,energy,100,0.27173494578670326,0.16803583086730295,0.2383929913786222,0.30507690019478434
single_shape,bn2_w16_gap,release_default,4,centered_logit_fidelity,energy,100,0.45019726720551184,0.3257849130144319,0.3855544725080776,0.5148400619029461
single_shape,bn2_w16_gap,release_default,8,centered_logit_fidelity,energy,100,0.4478010954161602,0.48764595704020214,0.3510415579829851,0.5445606328493353
single_shape,bn2_w16_gap,retention_1,1,centered_logit_fidelity,energy,100,-0.42932641806008687,0.24021207496274116,-0.4769897051717687,-0.38166313094840504
single_shape,bn2_w16_gap,retention_1,2,centered_logit_fidelity,energy,100,0.45754819813447517,0.2174561790125322,0.4144001744720875,0.5006962217968629
single_shape,bn2_w16_gap,retention_1,4,centered_logit_fidelity,energy,100,0.8124695648463544,0.5054960481310552,0.712168182080196,0.9127709476125127
single_shape,bn2_w16_gap,retention_1,8,centered_logit_fidelity,energy,100,1.5680312402456211,0.6307856207250094,1.4428696880996688,1.6931927923915735
single_shape,bn2_w16_gmp,release_default,1,centered_logit_fidelity,energy,100,0.02438528582655165,0.0361290983452403,0.017216488888335792,0.03155408276476751
single_shape,bn2_w16_gmp,release_default,2,centered_logit_fidelity,energy,100,0.02096917684725614,0.033156564866703465,0.014390195040767374,0.027548158653744905
single_shape,bn2_w16_gmp,release_default,4,centered_logit_fidelity,energy,100,0.04363405899292371,0.037737354565953105,0.036146149129144586,0.05112196885670284
single_shape,bn2_w16_gmp,release_default,8,centered_logit_fidelity,energy,100,0.0396851580164809,0.04103194777102239,0.031543529384093785,0.04782678664886801
single_shape,bn2_w16_gmp,retention_1,1,centered_logit_fidelity,energy,100,0.049925423033536524,0.04251803091783783,0.0414889232640116,0.05836192280306145
single_shape,bn2_w16_gmp,retention_1,2,centered_logit_fidelity,energy,100,0.06567413277484854,0.0399986677450745,0.057737529316783574,0.0736107362329135
