task,architecture,block,metric,delta
single_shape,bn2_w16_gmp,6007,prob_input_effect_mpp,0.0026627182960510254
single_shape,bn2_w16_gmp,6008,prob_input_effect_mpp,0.0022391676902770996
single_shape,bn2_w16_gmp,6009,prob_input_effect_mpp,0.004898339509963989
single_shape,bn2_w16_gmp,6010,prob_input_effect_mpp,0.002739846706390381
single_shape,bn2_w16_gmp,6011,prob_input_effect_mpp,0.003665447235107422
single_shape,bn2_w16_gmp,6012,prob_input_effect_mpp,0.001871556043624878
single_shape,bn2_w16_gmp,6013,prob_input_effect_mpp,0.0035431981086730957
single_shape,bn2_w16_gmp,6014,prob_input_effect_mpp,0.005972117185592651
single_shape,bn2_w16_gmp,6015,prob_input_effect_mpp,0.0025734901428222656
single_shape,bn2_w16_gmp,6016,prob_input_effect_mpp,0.002787381410598755
single_shape,bn2_w16_gmp,6017,prob_input_effect_mpp,0.002336829900741577
single_shape,bn2_w16_gmp,6018,prob_input_effect_mpp,0.00352400541305542
single_shape,bn2_w16_gmp,6019,prob_input_effect_mpp,-0.0005193054676055908
single_shape,bn2_w16_gmp,6020,prob_input_effect_mpp,0.0023971498012542725
single_shape,bn2_w16_gmp,6021,prob_input_effect_mpp,0.003325045108795166
single_shape,bn2_w16_gmp,6022,prob_input_effect_mpp,0.0035243630409240723
single_shape,bn2_w16_gmp,6023,prob_input_effect_mpp,0.002173691987991333
single_shape,bn2_w16_gmp,6024,prob_input_effect_mpp,0.0009362399578094482
single_shape,bn2_w16_gmp,6025,prob_input_effect_mpp,0.0034548044204711914
single_shape,bn2_w16_gmp,6026,prob_input_effect_mpp,0.0021840333938598633
single_shape,bn2_w16_gmp,6027,prob_input_effect_mpp,0.00015059113502502441
single_shape,bn2_w16_gmp,6028,prob_input_effect_mpp,0.0031420886516571045
single_shape,bn2_w16_gmp,6029,prob_input_effect_mpp,0.00314292311668396
single_shape,bn2_w16_gmp,6030,prob_input_effect_mpp,0.0023183226585388184
single_shape,bn2_w16_gmp,6031,prob_input_effect_mpp,0.004684627056121826
single_shape,bn2_w16_gmp,6032,prob_input_effect_mpp,0.0030246078968048096
single_shape,bn2_w16_gmp,6033,prob_input_effect_mpp,0.002628922462463379
single_shape,bn2_w16_gmp,6034,prob_input_effect_mpp,0.0033077001571655273
single_shape,bn2_w16_gmp,6035,prob_input_effect_mpp,0.0029442906379699707
single_shape,bn2_w16_gmp,6036,prob_input_effect_mpp,0.005301773548126221
single_shape,bn2_w16_gmp,6037,prob_input_effect_mpp,0.005073368549346924
single_shape,bn2_w16_gmp,6038,prob_input_effect_mpp,0.002812296152114868
single_shape,bn2_w16_gmp,6039,prob_input_effect_mpp,0.004030495882034302
single_shape,bn2_w16_gmp,6040,prob_input_effect_mpp,0.0035881400108337402
single_shape,bn2_w16_gmp,6041,prob_input_effect_mpp,0.0015833079814910889
single_shape,bn2_w16_gmp,6042,prob_input_effect_mpp,0.0024244189262390137
