task,metric,family,contrast,block,difference
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6021,-0.061790822580307755
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6022,0.22281285792327613
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6023,0.17847073881801517
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6024,0.216049778288136
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6025,-0.07126840419330614
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6026,-0.0128619975042093
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6027,0.11062819514572468
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6028,0.19036894003674032
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6029,0.13402763802403506
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6030,0.07150195636654848
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6031,0.27248024184835906
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6032,0.17903952195976527
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6033,0.14808347955671897
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6034,-0.052602728151948816
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6035,0.6087815176973715
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6036,-0.020267656246176116
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6037,0.2981763887125562
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6038,0.1640068623719634
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6039,0.1825001610264475
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6040,0.43002891498786244
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6041,0.3535039376511123
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6042,0.14826577144425948
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6043,0.2872735841612877
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6044,0.03270848244345141
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6045,0.13909418050842517
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6046,0.1519684649797704
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6047,-0.06071125646793647
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6048,0.1379826298281755
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6049,0.07087436092781914
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6050,0.11916947931726848
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6051,0.15792627020813993
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6052,0.08913011121792924
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6053,0.10707137333622681
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6054,0.2961774542593173
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6055,0.09116162902832207
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6056,-0.01789329777132924
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6057,0.3324100002024211
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6058,0.1122617170707463
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6059,0.20239850000916018
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6060,0.14655559426186832
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6061,0.17298218814828464
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6062,0.061572560621017236
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6063,-0.40837961451851235
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6064,0.06657592899160208
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6065,0.2713394644961744
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6066,0.057220903014369745
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6067,0.015024097124055766
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6068,0.443666869363316
single_shape,centered_logit_fidelity,pooling,plain4_w16: GAP - GMP,6069,-0.041730514510100875
