task,metric,contrast,block,architecture,difference
single_shape,centered_logit_fidelity,structured - pixel_permuted,7056,tiny_gap,0.0050050863955220515
single_shape,centered_logit_fidelity,structured - pixel_permuted,7056,tiny_gmp,0.0981418593164257
single_shape,centered_logit_fidelity,structured - pixel_permuted,7057,plain2_w16_gap,0.018844993746428687
single_shape,centered_logit_fidelity,structured - pixel_permuted,7057,plain2_w16_gmp,0.13396275151010703
single_shape,centered_logit_fidelity,structured - pixel_permuted,7057,tiny_gap,0.022500770472358725
single_shape,centered_logit_fidelity,structured - pixel_permuted,7057,tiny_gmp,0.014429817842110962
single_shape,centered_logit_fidelity,structured - pixel_permuted,7058,plain2_w16_gap,0.049912085902375475
single_shape,centered_logit_fidelity,structured - pixel_permuted,7058,plain2_w16_gmp,0.023004359584000447
single_shape,centered_logit_fidelity,structured - pixel_permuted,7058,tiny_gap,0.04496423230293954
single_shape,centered_logit_fidelity,structured - pixel_permuted,7058,tiny_gmp,0.0670488210390219
single_shape,centered_logit_fidelity,structured - pixel_permuted,7059,plain2_w16_gap,0.20471040325148765
single_shape,centered_logit_fidelity,structured - pixel_permuted,7059,plain2_w16_gmp,0.016749111778326747
single_shape,centered_logit_fidelity,structured - pixel_permuted,7059,tiny_gap,0.0006656934747925891
single_shape,centered_logit_fidelity,structured - pixel_permuted,7059,tiny_gmp,0.02033643432825724
single_shape,centered_logit_fidelity,structured - pixel_permuted,7060,plain2_w16_gap,-0.028006758783184038
single_shape,centered_logit_fidelity,structured - pixel_permuted,7060,plain2_w16_gmp,0.009038482138552448
single_shape,centered_logit_fidelity,structured - pixel_permuted,7060,tiny_gap,0.04286177488851693
single_shape,centered_logit_fidelity,structured - pixel_permuted,7060,tiny_gmp,0.00749182612828643
single_shape,centered_logit_fidelity,structured - pixel_permuted,7061,plain2_w16_gap,0.12116790956724834
single_shape,centered_logit_fidelity,structured - pixel_permuted,7061,plain2_w16_gmp,0.046437963960339404
single_shape,centered_logit_fidelity,structured - pixel_permuted,7061,tiny_gap,-0.006551798015753271
single_shape,centered_logit_fidelity,structured - pixel_permuted,7061,tiny_gmp,-0.03503446803450669
single_shape,centered_logit_fidelity,structured - pixel_permuted,7062,plain2_w16_gap,-0.0034404140653384735
single_shape,centered_logit_fidelity,structured - pixel_permuted,7062,plain2_w16_gmp,0.05771623123332638
single_shape,centered_logit_fidelity,structured - pixel_permuted,7062,tiny_gap,-0.018786518637991315
single_shape,centered_logit_fidelity,structured - pixel_permuted,7062,tiny_gmp,0.07843734921859682
single_shape,centered_logit_fidelity,structured - pixel_permuted,7063,plain2_w16_gap,0.1559934823539775
single_shape,centered_logit_fidelity,structured - pixel_permuted,7063,plain2_w16_gmp,0.08217314205749696
single_shape,centered_logit_fidelity,structured - pixel_permuted,7063,tiny_gap,0.0015534824989539842
single_shape,centered_logit_fidelity,structured - pixel_permuted,7063,tiny_gmp,0.005509897170376352
single_shape,centered_logit_fidelity,structured - pixel_permuted,7064,plain2_w16_gap,0.006453654510558612
single_shape,centered_logit_fidelity,structured - pixel_permuted,7064,plain2_w16_gmp,0.05423603913569425
single_shape,centered_logit_fidelity,structured - pixel_permuted,7064,tiny_gap,-0.013653862319038937
single_shape,centered_logit_fidelity,structured - pixel_permuted,7064,tiny_gmp,0.056892641875559494
single_shape,centered_logit_fidelity,structured - pixel_permuted,7065,plain2_w16_gap,-0.03575958861762861
single_shape,centered_logit_fidelity,structured - pixel_permuted,7065,plain2_w16_gmp,0.004722241686766576
single_shape,centered_logit_fidelity,structured - pixel_permuted,7065,tiny_gap,0.01714378013792768
single_shape,centered_logit_fidelity,structured - pixel_permuted,7065,tiny_gmp,0.029955262956966752
single_shape,centered_logit_fidelity,structured - pixel_permuted,7066,plain2_w16_gap,-0.13019881030806346
single_shape,centered_logit_fidelity,structured - pixel_permuted,7066,plain2_w16_gmp,0.059118578092036994
single_shape,centered_logit_fidelity,structured - pixel_permuted,7066,tiny_gap,-0.029381208074249474
single_shape,centered_logit_fidelity,structured - pixel_permuted,7066,tiny_gmp,0.10644747921432704
single_shape,centered_logit_fidelity,structured - pixel_permuted,7067,plain2_w16_gap,-0.05395266381850583
single_shape,centered_logit_fidelity,structured - pixel_permuted,7067,plain2_w16_gmp,0.0360172619879902
single_shape,centered_logit_fidelity,structured - pixel_permuted,7067,tiny_gap,-0.006737876555371697
single_shape,centered_logit_fidelity,structured - pixel_permuted,7067,tiny_gmp,0.027020364370143254
single_shape,centered_logit_fidelity,structured - pixel_permuted,7068,plain2_w16_gap,0.04308543967985459
single_shape,centered_logit_fidelity,structured - pixel_permuted,7068,plain2_w16_gmp,0.05555698204631823
single_shape,centered_logit_fidelity,structured - pixel_permuted,7068,tiny_gap,0.017314722939916524
single_shape,centered_logit_fidelity,structured - pixel_permuted,7068,tiny_gmp,0.021769507005793914
single_shape,centered_logit_fidelity,structured - pixel_permuted,7069,plain2_w16_gap,-0.014384068630533972
single_shape,centered_logit_fidelity,structured - pixel_permuted,7069,plain2_w16_gmp,0.07200704292571092
