task,architecture,anchor_family,quantity,retention_mean,release_mean,delta_n,delta_mean,delta_sd,delta_ci_low,delta_ci_high
single_shape,tiny_gap,structured_template,structured_template_alignment,0.9962514546759135,0.6501346094329107,100,0.346116845243003,0.010938204780986699,0.34394646810836726,0.34828722237763876
single_shape,tiny_gmp,pixel_permuted_template,structured_template_alignment,0.18637035071541766,0.28046634094189415,100,-0.09409599022647651,0.010503668445187528,-0.09618014592475495,-0.09201183452819807
single_shape,tiny_gmp,random_fullrank,structured_template_alignment,0.182883590891851,0.2771378842806798,100,-0.09425429338882882,0.008707375384761587,-0.09598202557305584,-0.0925265612046018
single_shape,tiny_gmp,random_rank10,structured_template_alignment,0.17920527048789572,0.2720853153138174,100,-0.09288004482592178,0.01035612130200252,-0.09493492396993364,-0.09082516568190993
single_shape,tiny_gmp,structured_template,structured_template_alignment,0.9577866053644029,0.6780296754430549,100,0.27975692992134804,0.007213275991453342,0.27832565947147675,0.28118820037121933
two_concepts,plain2_w16_gap,pixel_permuted_template,structured_template_alignment,0.19395658837461593,0.2945919621847888,100,-0.10063537381017286,0.013110379135336624,-0.10323675746237884,-0.09803399015796688
two_concepts,plain2_w16_gap,random_fullrank,structured_template_alignment,0.19075899497816678,0.2888659934543598,100,-0.09810699847619297,0.012563472718521138,-0.10059986403008128,-0.09561413292230467
two_concepts,plain2_w16_gap,random_rank10,structured_template_alignment,0.18825874745087148,0.2847770806678269,100,-0.09651833321695547,0.011568918425258864,-0.09881385762204738,-0.09422280881186355
two_concepts,plain2_w16_gap,structured_template,structured_template_alignment,0.9739662814037727,0.7314096739160334,100,0.24255660748773916,0.011212359467785999,0.240331832115413,0.24478138286006532
two_concepts,plain2_w16_gmp,pixel_permuted_template,structured_template_alignment,0.16300976292381505,0.20883468446947512,100,-0.04582492154566005,0.0088026448677328,-0.047571557262195106,-0.04407828582912499
two_concepts,plain2_w16_gmp,random_fullrank,structured_template_alignment,0.1569679529476807,0.19939810416760348,100,-0.04243015121992274,0.005715535155653456,-0.04356423739424631,-0.04129606504559917
two_concepts,plain2_w16_gmp,random_rank10,structured_template_alignment,0.15552896468808583,0.19873316737909044,100,-0.04320420269100463,0.006100833281830008,-0.0444147403726656,-0.041993665009343664
