task,architecture,anchor_family,block,init_rep,treatment,anchor_rank,anchor_max_abs_row_mean,anchor_max_abs_row_norm_error,anchor_max_abs_gram_error_vs_structured,anchor_sha256
single_shape,plain2_w16_gap,pixel_permuted_template,7017,1,release_default,10,1.437226195394257e-09,1.219202117042073e-08,4.440892098500626e-16,8e7750d6fc0f7af6f1001aad6051c9d37677e32bb14273a6acdb6420bc606e42
single_shape,plain2_w16_gap,pixel_permuted_template,7017,2,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,d58e0e7c8d842b6ed746e07d94731d7019682165730a9355766bb9a472ffcccc
single_shape,plain2_w16_gap,pixel_permuted_template,7017,3,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,161eac562bc96a92ae8c5f0fdc594b7e1f6af6c947432129f973bb01e0530d49
single_shape,plain2_w16_gap,pixel_permuted_template,7018,0,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,687c22c885baf695b542aab135348c871a116e9529ad55ec3988f5fdaf2c08f6
single_shape,plain2_w16_gap,pixel_permuted_template,7018,1,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,a96a5de6ad62a4d16f90284903cc02a668ccd40ae157a0a926cae78fe2812a28
single_shape,plain2_w16_gap,pixel_permuted_template,7018,2,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,5.551115123125783e-16,2e1ddba95469035b6e662cb0b138f6ea35ea75cef1d338325be938b97827fc0d
single_shape,plain2_w16_gap,pixel_permuted_template,7018,3,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,9bf42ff02db3747999b464c5f5262d6f0c695da2a0740c17f3ff9d407357b6ad
single_shape,plain2_w16_gap,pixel_permuted_template,7019,0,release_default,10,1.437226195394257e-09,1.219202161450994e-08,4.440892098500626e-16,29814b21cf92ca7ae364103288055fec18853b474a5a1887e632289193615db5
single_shape,plain2_w16_gap,pixel_permuted_template,7019,1,release_default,10,1.437226195394257e-09,1.219202161450994e-08,4.440892098500626e-16,ed1c4ca2ad6eb7c5830d24a052914cb97cb2d32395224bf301e1681f9b89a1f0
single_shape,plain2_w16_gap,pixel_permuted_template,7019,2,release_default,10,1.437226195394257e-09,1.219202161450994e-08,3.3306690738754696e-16,c692f1f2b6ec3ace0812aba08c31da426faa145eac62d16f1dc3a034db272809
single_shape,plain2_w16_gap,pixel_permuted_template,7019,3,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,3.3306690738754696e-16,ff550b38d500ace116761bfac9e25658000cbf82ca9c49bee41ee399be97eb9b
single_shape,plain2_w16_gap,pixel_permuted_template,7020,0,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,3282099b431c30cebb18eecc9606d1310a7780a51e4a59394a39b9e86d4e1aa5
single_shape,plain2_w16_gap,pixel_permuted_template,7020,1,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,5.551115123125783e-16,168bf8420c0777ba1f2c78222bc5dbf6a178436204178fc7ddc171d687312b78
single_shape,plain2_w16_gap,pixel_permuted_template,7020,2,release_default,10,1.437226195394257e-09,1.219202161450994e-08,4.440892098500626e-16,8ac377cc7791ad85d964667f8904a4d975faac7852536becea3b79a1c1649aae
single_shape,plain2_w16_gap,pixel_permuted_template,7020,3,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,bce515ab417ce78123d0b7424d56c59e756e3f074c4dd78cc1ba2b28e9f2ef45
single_shape,plain2_w16_gap,pixel_permuted_template,7021,0,release_default,10,1.437226195394257e-09,1.219202161450994e-08,4.440892098500626e-16,9ed1132a918da4d887c594c2746959410ea0ce7c83283e19c7e26e9dad014d64
single_shape,plain2_w16_gap,pixel_permuted_template,7021,1,release_default,10,1.437226195394257e-09,1.219202161450994e-08,5.551115123125783e-16,3a39a0afe5f56ecb725b0a4a85c12d22930a838bafcb47784055abd2d6d7a934
single_shape,plain2_w16_gap,pixel_permuted_template,7021,2,release_default,10,1.437226195394257e-09,1.2192021392465335e-08,4.440892098500626e-16,112f78e5a5c01c202079bbaf7f5039f4966cf8e53cff7282b9aa1fd8ddd796f0
single_shape,plain2_w16_gap,pixel_permuted_template,7021,3,release_default,10,1.437226195394257e-09,1.219202161450994e-08,5.551115123125783e-16,560fb0899b27e9788b1441775dd92d02259d3bf1da2b7ee8ee99368083ed465d
