task,metric,contrast,architecture,n,mean,sd,ci_low,ci_high,t_stat,p_two_sided,p_holm_within_task_metric_contrast
single_shape,prob_error_reduction,pixel_permuted - random_rank10,tiny_gmp,100,0.014867489873431623,0.05630495339115408,0.003695365575730518,0.02603961417113273,2.640529647568701,0.009619301256410525,0.0384772050256421
single_shape,prob_error_reduction,random_rank10 - random_fullrank,plain2_w16_gap,100,0.004235757999122142,0.07446927719035809,-0.010540562218227483,0.019012078216471766,0.5687926832289124,0.5707849353399477,1.0
single_shape,prob_error_reduction,random_rank10 - random_fullrank,plain2_w16_gmp,100,0.0027979766950011254,0.059309822066996844,-0.008970378739089804,0.014566332129092054,0.4717560426737596,0.6381390207615691,1.0
single_shape,prob_error_reduction,random_rank10 - random_fullrank,tiny_gap,100,0.002802216089330614,0.03537444357001965,-0.004216840969126398,0.009821273147787626,0.7921583512074045,0.4301624309189294,1.0
single_shape,prob_error_reduction,random_rank10 - random_fullrank,tiny_gmp,100,0.003771870592609048,0.05386354851853738,-0.006915826011698882,0.014459567196916979,0.7002640368766165,0.48540483619219416,1.0
single_shape,prob_error_reduction,structured - random_fullrank,plain2_w16_gap,100,0.06710754431784154,0.11240042114392357,0.04480486221791899,0.08941022641776408,5.970399722249565,3.7094357010721246e-08,7.418871402144249e-08
single_shape,prob_error_reduction,structured - random_fullrank,plain2_w16_gmp,100,0.011417389363050461,0.059167416914889484,-0.00032270979936000095,0.02315748852546092,1.9296751418900076,0.05650974263771743,0.05650974263771743
single_shape,prob_error_reduction,structured - random_fullrank,tiny_gap,100,0.07980241913115606,0.041592667090619,0.07154953162086639,0.08805530664144573,19.186655897129295,3.985394351974579e-35,1.5941577407898315e-34
single_shape,prob_error_reduction,structured - random_fullrank,tiny_gmp,100,0.06618388244882226,0.06413207351042575,0.05345868770884496,0.07890907718879955,10.31993491338822,2.1952859803876173e-17,6.585857941162852e-17
two_concepts,centered_logit_fidelity,structured - pixel_permuted,plain2_w16_gap,100,0.09109333494224262,0.10571078274463286,0.07011802223350566,0.11206864765097957,8.6172226311386,1.1226684771450248e-13,1.1226684771450248e-13
two_concepts,centered_logit_fidelity,structured - pixel_permuted,plain2_w16_gmp,100,-0.04453121802416187,0.036996623883404633,-0.05187215085025371,-0.037190285198070036,-12.036562623795785,4.285902761040616e-21,1.2857708283121847e-20
two_concepts,centered_logit_fidelity,structured - pixel_permuted,tiny_gap,100,0.0769035791449202,0.06764457079952435,0.06348142873859983,0.09032572955124057,11.368773315575675,1.1640823321888526e-19,2.328164664377705e-19
two_concepts,centered_logit_fidelity,structured - pixel_permuted,tiny_gmp,100,0.10623649308538605,0.049303532642446614,0.09645360256116237,0.11601938360960973,21.547440394549835,3.6872906090358907e-39,1.4749162436143563e-38
two_concepts,centered_logit_fidelity,pixel_permuted - random_rank10,plain2_w16_gap,100,-0.004643025833057559,0.09370843017195483,-0.023236811398432044,0.013950759732316926,-0.495475788521653,0.621362350376258,1.0
two_concepts,centered_logit_fidelity,pixel_permuted - random_rank10,plain2_w16_gmp,100,0.003808794166743369,0.03522074738382988,-0.0031797662339104514,0.01079735456739719,1.081406400959003,0.2821435577588177,1.0
