task,architecture,anchor_family,block,metric,value_kind,B,init_reps
single_shape,plain2_w16_gap,random_fullrank,7006,prob_error_reduction,selected,0.17752165719866753,4
single_shape,plain2_w16_gap,random_fullrank,7007,centered_logit_fidelity,selected,0.003899901630165445,4
single_shape,plain2_w16_gap,random_fullrank,7007,prob_error_reduction,selected,-0.005989281460642815,4
single_shape,plain2_w16_gap,random_fullrank,7008,centered_logit_fidelity,selected,0.02766585306823069,4
single_shape,plain2_w16_gap,random_fullrank,7008,prob_error_reduction,selected,0.1745481863617897,4
single_shape,plain2_w16_gap,random_fullrank,7009,centered_logit_fidelity,selected,0.0003799794585411659,4
single_shape,plain2_w16_gap,random_fullrank,7009,prob_error_reduction,selected,0.023971382528543472,4
single_shape,plain2_w16_gap,random_fullrank,7010,centered_logit_fidelity,selected,-0.0016792418350012467,4
single_shape,plain2_w16_gap,random_fullrank,7010,prob_error_reduction,selected,0.10363920964300632,4
single_shape,plain2_w16_gap,random_fullrank,7011,centered_logit_fidelity,selected,-0.03184037943306396,4
single_shape,plain2_w16_gap,random_fullrank,7011,prob_error_reduction,selected,0.156636044383049,4
single_shape,plain2_w16_gap,random_fullrank,7012,centered_logit_fidelity,selected,0.021850625008452237,4
single_shape,plain2_w16_gap,random_fullrank,7012,prob_error_reduction,selected,0.07207939773797989,4
single_shape,plain2_w16_gap,random_fullrank,7013,centered_logit_fidelity,selected,-0.061050429500702316,4
single_shape,plain2_w16_gap,random_fullrank,7013,prob_error_reduction,selected,0.11850117985159159,4
single_shape,plain2_w16_gap,random_fullrank,7014,centered_logit_fidelity,selected,-0.020341097134428276,4
single_shape,plain2_w16_gap,random_fullrank,7014,prob_error_reduction,selected,0.17629753798246384,4
single_shape,plain2_w16_gap,random_fullrank,7015,centered_logit_fidelity,selected,0.07755861054396333,4
single_shape,plain2_w16_gap,random_fullrank,7015,prob_error_reduction,selected,0.1750936545431614,4
single_shape,plain2_w16_gap,random_fullrank,7016,centered_logit_fidelity,selected,0.008007917109251195,4
single_shape,plain2_w16_gap,random_fullrank,7016,prob_error_reduction,selected,0.15859553404152393,4
single_shape,plain2_w16_gap,random_fullrank,7017,centered_logit_fidelity,selected,0.03146344813829202,4
single_shape,plain2_w16_gap,random_fullrank,7017,prob_error_reduction,selected,0.15449007041752338,4
single_shape,plain2_w16_gap,random_fullrank,7018,centered_logit_fidelity,selected,-0.0008749756852094309,4
single_shape,plain2_w16_gap,random_fullrank,7018,prob_error_reduction,selected,0.1926867850124836,4
single_shape,plain2_w16_gap,random_fullrank,7019,centered_logit_fidelity,selected,0.019067316575000187,4
single_shape,plain2_w16_gap,random_fullrank,7019,prob_error_reduction,selected,0.13235506787896156,4
single_shape,plain2_w16_gap,random_fullrank,7020,centered_logit_fidelity,selected,0.05844808864150991,4
single_shape,plain2_w16_gap,random_fullrank,7020,prob_error_reduction,selected,0.1071147583425045,4
single_shape,plain2_w16_gap,random_fullrank,7021,centered_logit_fidelity,selected,-0.01430814035355106,4
single_shape,plain2_w16_gap,random_fullrank,7021,prob_error_reduction,selected,0.049830496311187744,4
single_shape,plain2_w16_gap,random_fullrank,7022,centered_logit_fidelity,selected,-0.06534377101862825,4
single_shape,plain2_w16_gap,random_fullrank,7022,prob_error_reduction,selected,0.13213714212179184,4
single_shape,plain2_w16_gap,random_fullrank,7023,centered_logit_fidelity,selected,0.10400618136389604,4
single_shape,plain2_w16_gap,random_fullrank,7023,prob_error_reduction,selected,0.27638560347259045,4
single_shape,plain2_w16_gap,random_fullrank,7024,centered_logit_fidelity,selected,0.020832106362347225,4
single_shape,plain2_w16_gap,random_fullrank,7024,prob_error_reduction,selected,0.12881460785865784,4
single_shape,plain2_w16_gap,random_fullrank,7025,centered_logit_fidelity,selected,0.026281112894715616,4
single_shape,plain2_w16_gap,random_fullrank,7025,prob_error_reduction,selected,0.08235404640436172,4
single_shape,plain2_w16_gap,random_fullrank,7026,centered_logit_fidelity,selected,0.014848544208252809,4
single_shape,plain2_w16_gap,random_fullrank,7026,prob_error_reduction,selected,0.101773452013731,4
single_shape,plain2_w16_gap,random_fullrank,7027,centered_logit_fidelity,selected,-0.05684736933413957,4
single_shape,plain2_w16_gap,random_fullrank,7027,prob_error_reduction,selected,0.07977777626365423,4
single_shape,plain2_w16_gap,random_fullrank,7028,centered_logit_fidelity,selected,0.044467174453463015,4
single_shape,plain2_w16_gap,random_fullrank,7028,prob_error_reduction,selected,0.10619015619158745,4
single_shape,plain2_w16_gap,random_fullrank,7029,centered_logit_fidelity,selected,0.006357411930573528,4
single_shape,plain2_w16_gap,random_fullrank,7029,prob_error_reduction,selected,0.11234666779637337,4
single_shape,plain2_w16_gap,random_fullrank,7030,centered_logit_fidelity,selected,0.02930453666636161,4
single_shape,plain2_w16_gap,random_fullrank,7030,prob_error_reduction,selected,0.15487198159098625,4
single_shape,plain2_w16_gap,random_fullrank,7031,centered_logit_fidelity,selected,2.080139659960123e-05,4
single_shape,plain2_w16_gap,random_fullrank,7031,prob_error_reduction,selected,0.12671917863190174,4
single_shape,plain2_w16_gap,random_fullrank,7032,centered_logit_fidelity,selected,0.0135264183210171,4
single_shape,plain2_w16_gap,random_fullrank,7032,prob_error_reduction,selected,0.09769155457615852,4
single_shape,plain2_w16_gap,random_fullrank,7033,centered_logit_fidelity,selected,-0.03592458845875168,4
single_shape,plain2_w16_gap,random_fullrank,7033,prob_error_reduction,selected,0.17069671861827374,4
single_shape,plain2_w16_gap,random_fullrank,7034,centered_logit_fidelity,selected,0.03896890248345779,4
