task,architecture,profile,method,metric,block,B
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5035,0.0877822494736557
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5036,0.044549042013416584
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5037,0.11375210381893647
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5038,0.06950313673974201
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5039,0.05492148172437539
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5040,0.011193764614726043
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5041,0.057337799445926096
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5042,0.09548627689975892
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5043,0.025208409442901203
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5044,0.04386088187603121
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5045,0.10054793569488485
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5046,0.032631857492598004
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5047,0.0966189352894754
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5048,0.032455577640338296
single_shape,TinyCNN,template_init,auroc,centered_logit_fidelity,5049,-0.01725358512757197
single_shape,TinyCNN,retention_0p1,auroc,centered_logit_fidelity,5000,0.05173180950440359
single_shape,TinyCNN,retention_0p1,auroc,centered_logit_fidelity,5001,0.043454552617670394
single_shape,TinyCNN,retention_0p1,auroc,centered_logit_fidelity,5002,0.08627499397155952
single_shape,TinyCNN,retention_0p1,auroc,centered_logit_fidelity,5003,0.03950054528136793
single_shape,TinyCNN,retention_0p1,auroc,centered_logit_fidelity,5004,0.05510526206117744
single_shape,TinyCNN,retention_0p1,auroc,centered_logit_fidelity,5005,0.045832039490586896
single_shape,TinyCNN,retention_0p1,auroc,centered_logit_fidelity,5006,0.05225808822989381
single_shape,TinyCNN,retention_0p1,auroc,centered_logit_fidelity,5007,0.06116388405523515
single_shape,TinyCNN,retention_0p1,auroc,centered_logit_fidelity,5008,-0.00996097601584206
single_shape,TinyCNN,retention_0p1,auroc,centered_logit_fidelity,5009,0.007866737949187907
single_shape,TinyCNN,retention_0p1,auroc,centered_logit_fidelity,5010,0.01693901080203769
single_shape,TinyCNN,retention_0p1,auroc,centered_logit_fidelity,5011,0.040831876460260985
single_shape,TinyCNN,retention_0p1,auroc,centered_logit_fidelity,5012,0.07777099891979788
single_shape,TinyCNN,retention_0p1,auroc,centered_logit_fidelity,5013,0.05719359882676023
single_shape,TinyCNN,retention_0p1,auroc,centered_logit_fidelity,5014,0.053976223691947434
single_shape,TinyCNN,retention_0p1,auroc,centered_logit_fidelity,5015,0.023588579467807513
single_shape,TinyCNN,retention_0p1,auroc,centered_logit_fidelity,5016,0.01895094259441793
single_shape,TinyCNN,retention_0p1,auroc,centered_logit_fidelity,5017,0.05147226884921269
