task,architecture,profile,method,metric,t_stat,p_two_sided,n,mean,sd,ci_low,ci_high,p_holm_within_setting
single_shape,TinyCNN,retention_0p1,auroc,prob_error_reduction,21.10879457527571,3.0014600518522134e-26,50,0.22041750609874725,0.07383591360408871,0.19943357162981085,0.24140144056768364,3.0014600518522134e-26
single_shape,TinyCNN,release_early,auroc,prob_error_reduction,25.613971185362935,4.9849908943361924e-30,50,0.3706196743249893,0.1023143514372765,0.34154225737443034,0.3996970912755483,1.993996357734477e-29
single_shape,TinyCNN,release_default,auroc,prob_error_reduction,23.164290976947917,4.749954584618388e-28,50,0.3630026039481163,0.11080917740824699,0.331510984168624,0.39449422372760856,9.499909169236776e-28
single_shape,TinyCNN,release_late,auroc,prob_error_reduction,27.874764741094307,1.0259611028215017e-31,50,0.3554348069429398,0.09016411962342442,0.32981044766742174,0.3810591662184578,5.129805514107508e-31
single_shape,TinyCNN,template_init,validation_patch,prob_error_reduction,24.617724232513226,3.035222952494992e-29,50,0.34027326107025146,0.09773833197849231,0.31249633446056624,0.3680501876799367,6.070445904989984e-29
single_shape,TinyCNN,retention_0p1,validation_patch,prob_error_reduction,20.07943425060906,2.7107693560420723e-25,50,0.21844371177256108,0.07692598704430746,0.19658158814866364,0.24030583539645853,2.7107693560420723e-25
single_shape,TinyCNN,release_early,validation_patch,prob_error_reduction,25.429518578552944,6.93288865546241e-30,50,0.33916066827252506,0.09430882763526963,0.3123583960130926,0.3659629405319575,2.0798665966387233e-29
single_shape,TinyCNN,release_default,validation_patch,prob_error_reduction,26.15188718816429,1.9272780548801735e-30,50,0.32597362095490096,0.08813825029402146,0.3009250073724445,0.3510222345373574,7.709112219520694e-30
single_shape,TinyCNN,release_late,validation_patch,prob_error_reduction,27.960379635680066,8.905428496369767e-32,50,0.3180140812881291,0.08042448504693797,0.295157695532926,0.3408704670433322,4.452714248184883e-31
single_shape,TwoLayerCNN,template_init,contrast,prob_error_reduction,1.2649051099286324,0.21188815781894135,50,0.019473633766174316,0.10886143460343918,-0.011464443632877134,0.05041171116522576,0.816998118166449
single_shape,TwoLayerCNN,retention_0p1,contrast,prob_error_reduction,0.05973719418119569,0.9526079225494644,50,0.0006376016139984131,0.0754726483447203,-0.020811487721506094,0.02208669094950292,1.0
single_shape,TwoLayerCNN,release_early,contrast,prob_error_reduction,0.2860936775407339,0.7760124605400607,50,0.004264771044254303,0.10540773048614066,-0.025691774504848254,0.03422131659335686,1.0
single_shape,TwoLayerCNN,release_default,contrast,prob_error_reduction,-1.2866861412863464,0.20424952954161224,50,-0.016222811341285705,0.0891535203594011,-0.04155996148380203,0.00911433880123062,0.816998118166449
single_shape,TwoLayerCNN,release_late,contrast,prob_error_reduction,-2.203039152063485,0.03232471260541097,50,-0.02085702657699585,0.0669445430153518,-0.03988245519455746,-0.0018315979594342446,0.16162356302705486
