stage,task,architecture,block,profile,epoch,method,k,selection_valid,stored_prob_fidelity,legacy_prob_fidelity_abs_diff,prob_fidelity,centered_logit_fidelity,raw_logit_fidelity,prob_patch_error_mpp,prob_error_reduction,centered_logit_patch_error_mpp,centered_logit_error_reduction,raw_logit_patch_error_mpp,raw_logit_error_reduction,cf_accuracy,agreement
E,single_shape,TwoLayerCNN,5020,release_early,200,contrast,2,True,0.01008349136575315,0.0,0.01008349136575315,0.3146564380818956,0.31393190618564304,1.9789953231811523,0.02015852928161621,264.30328369140625,121.34747314453125,273.87237548828125,125.31887817382812,0.0,0.0
E,single_shape,TwoLayerCNN,5020,release_early,200,contrast,3,True,0.04710473900083223,0.0,0.04710473900083223,0.3853077306403744,0.385511416107845,1.9049839973449707,0.09416985511779785,237.05654907226562,148.59420776367188,245.2984619140625,153.89279174804688,0.0,0.0
E,single_shape,TwoLayerCNN,5020,release_early,200,contrast,4,True,0.13512940636948834,0.0,0.13512940636948834,0.463534816744011,0.460366337210938,1.7290093898773193,0.2701444625854492,206.88818359375,178.7625732421875,215.4170379638672,183.7742156982422,0.0403645858168602,0.0403645858168602
E,single_shape,TwoLayerCNN,5020,release_early,200,contrast,5,True,0.23490767864235973,0.0,0.23490767864235973,0.5406181718388314,0.5382600358553733,1.5295372009277344,0.4696166515350342,177.16094970703125,208.48980712890625,184.3225555419922,214.8686981201172,0.1002604216337204,0.1002604216337204
E,single_shape,TwoLayerCNN,5020,release_early,200,contrast,6,True,0.29939874004459366,0.0,0.29939874004459366,0.5759429740361455,0.5723500599967952,1.4006097316741943,0.5985441207885742,163.53793334960938,222.11282348632812,170.714111328125,228.47714233398438,0.1315104216337204,0.1315104216337204
E,single_shape,TwoLayerCNN,5020,release_early,200,contrast,7,True,0.4787565787653404,0.0,0.4787565787653404,0.6605995376752274,0.6543716727057596,1.0420458316802979,0.9571080207824707,130.8900604248047,254.7606964111328,137.9718017578125,261.2194519042969,0.3111979365348816,0.3111979365348816
E,single_shape,TwoLayerCNN,5020,release_early,200,contrast,8,True,0.6257978079739931,0.0,0.6257978079739931,0.7162182323173014,0.7111127550373456,0.7480877637863159,1.2510660886764526,109.44065856933594,276.21009826660156,115.32125854492188,283.8699951171875,0.4596354365348816,0.4596354365348816
E,single_shape,TwoLayerCNN,5020,release_early,200,contrast,9,True,0.78939473530219,0.0,0.78939473530219,0.7723542964244795,0.7682499426126475,0.4210323691368103,1.5781214833259583,87.79173278808594,297.85902404785156,92.5125961303711,306.6786575317383,0.7330729365348816,0.7330729365348816
E,single_shape,TwoLayerCNN,5020,release_early,200,contrast,10,True,0.8607281658454705,0.0,0.8607281658454705,0.8172463979595164,0.8131831439380812,0.27842581272125244,1.7207280397415161,70.47907257080078,315.1716842651367,74.57565307617188,324.6156005859375,0.8268229365348816,0.8268229365348816
E,single_shape,TwoLayerCNN,5020,release_early,200,contrast,11,True,0.8975538076139877,0.0,0.8975538076139877,0.863964354209273,0.8614997654559532,0.20480570197105408,1.7943481504917145,52.462249755859375,333.1885070800781,55.28807830810547,343.9031753540039,0.87890625,0.87890625
E,single_shape,TwoLayerCNN,5020,release_early,200,contrast,12,True,0.9105530905448644,0.0,0.9105530905448644,0.8952180701480614,0.8938563959478617,0.17881810665130615,1.8203357458114624,40.40923309326172,345.2415237426758,42.37159729003906,356.8196563720703,0.8919271230697632,0.8919271230697632
E,single_shape,TwoLayerCNN,5020,release_early,200,contrast,13,True,0.926999134293475,0.0,0.926999134293475,0.9113319897659287,0.9114817223320589,0.14593997597694397,1.8532138764858246,34.19488525390625,351.45587158203125,35.335723876953125,363.85552978515625,0.9075521230697632,0.9075521230697632
E,single_shape,TwoLayerCNN,5020,release_early,200,contrast,14,True,0.998716627895115,0.0,0.998716627895115,0.9516799564728053,0.9506376392331337,0.0025656584184616804,1.9965881940443069,18.634662628173828,367.0160942077637,19.70502471923828,379.4862289428711,1.0,1.0
E,single_shape,TwoLayerCNN,5020,release_early,200,contrast,15,True,0.999998105095185,0.0,0.999998105095185,0.9868570937911127,0.9862079264318603,3.78820641344646e-06,1.999150064256355,5.068572044372559,380.58218479156494,5.505675315856934,393.68557834625244,1.0,1.0
E,single_shape,TwoLayerCNN,5020,release_early,200,contrast,16,True,1.0,0.0,1.0,1.0,1.0,0.0,1.9991538524627686,0.0,385.6507568359375,0.0,399.1912536621094,1.0,1.0
E,single_shape,TwoLayerCNN,5020,release_early,200,auroc,1,True,0.0007251787862665449,0.0,0.0007251787862665449,0.14056860312776664,0.14262805941864065,1.997704029083252,0.0014498233795166016,331.44036865234375,54.21038818359375,342.25537109375,56.935882568359375,0.0,0.0
E,single_shape,TwoLayerCNN,5020,release_early,200,auroc,2,True,0.003167300439480103,0.0,0.003167300439480103,0.23225067165181457,0.23393266251629374,1.9928219318389893,0.006331920623779297,296.0831298828125,89.567626953125,305.807373046875,93.38388061523438,0.0,0.0
E,single_shape,TwoLayerCNN,5020,release_early,200,auroc,3,True,0.031703375877791484,0.0,0.031703375877791484,0.3510248156920739,0.3515023764275996,1.9357738494873047,0.06338000297546387,250.2777557373047,135.3730010986328,258.87457275390625,140.31668090820312,0.0,0.0
E,single_shape,TwoLayerCNN,5020,release_early,200,auroc,4,True,0.13512940636948834,0.0,0.13512940636948834,0.463534816744011,0.460366337210938,1.7290093898773193,0.2701444625854492,206.88818359375,178.7625732421875,215.4170379638672,183.7742156982422,0.0403645858168602,0.0403645858168602
E,single_shape,TwoLayerCNN,5020,release_early,200,auroc,5,True,0.21483371851582356,0.0,0.21483371851582356,0.5234733380369798,0.5208881808963517,1.569668173789978,0.4294856786727905,183.7728729248047,201.8778839111328,191.2572479248047,207.9340057373047,0.0989583358168602,0.0989583358168602
E,single_shape,TwoLayerCNN,5020,release_early,200,auroc,6,True,0.3156027212848759,0.0,0.3156027212848759,0.5868909540056594,0.5830697473447901,1.3682153224945068,0.6309385299682617,159.31582641601562,226.33493041992188,166.43490600585938,232.75634765625,0.1471354216337204,0.1471354216337204
E,single_shape,TwoLayerCNN,5020,release_early,200,auroc,7,True,0.4773635056260389,0.0,0.4773635056260389,0.663014482441144,0.6596712622078087,1.0448307991027832,0.9543230533599854,129.95872497558594,255.69203186035156,135.85626220703125,263.3349914550781,0.3255208432674408,0.3255208432674408
E,single_shape,TwoLayerCNN,5020,release_early,200,auroc,8,True,0.6598211835210376,0.0,0.6598211835210376,0.7131352230850498,0.7076314170374589,0.6800698041915894,1.3190840482711792,110.62962341308594,275.02113342285156,116.71098327636719,282.4802703857422,0.5455729365348816,0.5455729365348816
E,single_shape,TwoLayerCNN,5020,release_early,200,auroc,9,True,0.7953697879116409,0.0,0.7953697879116409,0.7605949954593668,0.7557316510310764,0.40908727049827576,1.5900665819644928,92.32672119140625,293.32403564453125,97.5097885131836,301.6814651489258,0.7434896230697632,0.7434896230697632
E,single_shape,TwoLayerCNN,5020,release_early,200,auroc,10,True,0.802450298896736,0.0,0.802450298896736,0.7928304182436491,0.7911214400984086,0.39493224024772644,1.6042216122150421,79.89510345458984,305.75565338134766,83.38249206542969,315.8087615966797,0.7604166865348816,0.7604166865348816
E,single_shape,TwoLayerCNN,5020,release_early,200,auroc,11,True,0.9073742616628879,0.0,0.9073742616628879,0.8611424168787687,0.8594919088929398,0.18517309427261353,1.813980758190155,53.55052947998047,332.10022735595703,56.08960723876953,343.10164642333984,0.8932291865348816,0.8932291865348816
E,single_shape,TwoLayerCNN,5020,release_early,200,auroc,12,True,0.9930081679561693,0.0,0.9930081679561693,0.917879071653376,0.9160409652940047,0.013977749273180962,1.9851761031895876,31.669998168945312,353.9807586669922,33.51571273803711,365.67554092407227,0.9947916865348816,0.9947916865348816
E,single_shape,TwoLayerCNN,5020,release_early,200,auroc,13,True,0.9995242000670285,0.0,0.9995242000670285,0.9481977195702399,0.9474579638916331,0.0009511971729807556,1.9982026552897878,19.977588653564453,365.67316818237305,20.974319458007812,378.21693420410156,1.0,1.0
E,single_shape,TwoLayerCNN,5020,release_early,200,auroc,14,True,0.9999359983059967,0.0,0.9999359983059967,0.965658045477657,0.9640772246212332,0.0001279492280445993,1.999025903234724,13.244001388549805,372.4067554473877,14.340057373046875,384.8511962890625,1.0,1.0
E,single_shape,TwoLayerCNN,5020,release_early,200,auroc,15,True,0.9999988234599054,0.0,0.9999988234599054,0.9908143476887401,0.9901900197303426,2.3520847207691986e-06,1.9991515003780478,3.542454242706299,382.1083025932312,3.91605806350708,395.2751955986023,1.0,1.0
E,single_shape,TwoLayerCNN,5020,release_early,200,auroc,16,True,1.0,0.0,1.0,1.0,1.0,0.0,1.9991538524627686,0.0,385.6507568359375,0.0,399.1912536621094,1.0,1.0
E,single_shape,TwoLayerCNN,5020,release_early,200,validation_patch,1,True,0.0033251208419292633,0.0,0.0033251208419292633,0.24806328039990067,0.24847133547606637,1.9925063848495483,0.006647467613220215,289.9849853515625,95.665771484375,300.003662109375,99.18759155273438,0.0,0.0
E,single_shape,TwoLayerCNN,5020,release_early,200,validation_patch,2,True,0.026409197057496225,0.0,0.026409197057496225,0.372987721878804,0.37181969077288834,1.94635808467865,0.05279576778411865,241.80776977539062,143.84298706054688,250.7640838623047,148.4271697998047,0.0,0.0
E,single_shape,TwoLayerCNN,5020,release_early,200,validation_patch,3,True,0.18806340293544355,0.0,0.18806340293544355,0.508164013136869,0.5084128024150392,1.6231861114501953,0.37596774101257324,189.6769256591797,195.9738311767578,196.2373046875,202.95394897460938,0.1002604216337204,0.1002604216337204
E,single_shape,TwoLayerCNN,5020,release_early,200,validation_patch,4,True,0.212065222680215,0.0,0.212065222680215,0.5611001362875778,0.5586330556859145,1.5752029418945312,0.4239509105682373,169.26206970214844,216.38868713378906,176.1898193359375,223.00143432617188,0.09765625,0.09765625
