stage,task,architecture,block,profile,epoch,pair_count,prob_input_effect_mpp,centered_logit_input_effect_mpp,raw_logit_input_effect_mpp,max_legacy_prob_fidelity_abs_diff,full_patch_max_logit_error,noop_max_logit_error,checkpoint_sha256,ranking_artifact_sha256,test_data_sha256
E,single_shape,TinyCNN,5008,release_default,200,768,1.984625220298767,158.94076538085938,159.8237762451172,0.0,0.0,0.0,3dee786812e927245f431ad4ace1ef4c5f925ba55940405f3186451ce4ea4996,0725c3a19c45fc8ef3ce32082b7680f23f625ad3df19b539b815761bddbd11d6,8f40dce9615cad8c0db2ef7bfe06042871951c65f376203030df9f605ffb9c46
E,single_shape,TinyCNN,5008,release_early,200,768,1.9855937957763672,163.53903198242188,164.65750122070312,0.0,0.0,0.0,6740cebdc9421a47a430c872a8ccd5a370cbebe14540e502924a072da2c5a610,b76c746232073d4eab74c50f721763bb572e3fa69b22524795275b13cffbad09,8f40dce9615cad8c0db2ef7bfe06042871951c65f376203030df9f605ffb9c46
E,single_shape,TinyCNN,5008,release_late,200,768,1.9755371809005737,133.24110412597656,134.2391357421875,0.0,0.0,0.0,f2e6065f2607bb7edc288b2e86b546988cd764cfe9ae14e6e68cf275ad396e50,53c54ec95b737dff451efcca53dc2d7b785f6206f8880a2d33c7e0331b066636,8f40dce9615cad8c0db2ef7bfe06042871951c65f376203030df9f605ffb9c46
E,single_shape,TinyCNN,5008,retention_0p1,200,768,1.8481721878051758,59.546142578125,60.25312042236328,0.0,0.0,0.0,9f2c34af5fff01fb88b4ef4b988fcf50b5428b44093d0f7a35e520885e3c4e48,59f069f67f7ef6b9287e1718e5b00a1f44edd8a361d9e6728593c26a854a3173,8f40dce9615cad8c0db2ef7bfe06042871951c65f376203030df9f605ffb9c46
E,single_shape,TinyCNN,5008,retention_1,200,768,1.6084474325180054,34.63457489013672,35.08030700683594,0.0,0.0,0.0,80c71dbed83c49ea967d0f92bb2e140d7531f2f6a5d35bc561b33c7e0863c2cd,579a2cacf0167937c1b22830a29a6195065661d052e86473b4c68819769eb610,8f40dce9615cad8c0db2ef7bfe06042871951c65f376203030df9f605ffb9c46
E,single_shape,TinyCNN,5008,template_init,200,768,1.9860904216766357,158.6283416748047,160.2869415283203,0.0,0.0,0.0,0a293989bfe012c5b9a8f239cc77763c1781534beb07c05af582a01c27326ff0,d858df13c3614c1ec7fb835b1b43704dc83e1fca01e92ed26e6690ca0a44002c,8f40dce9615cad8c0db2ef7bfe06042871951c65f376203030df9f605ffb9c46
E,single_shape,TinyCNN,5009,release_default,200,768,1.9843404293060303,150.88980102539062,155.89593505859375,0.0,0.0,0.0,cae9ca0bd4bdd3a63d05d772ab5a28bb3d6e50fccc7cb94d2e2c562e0efd37b2,c8de32242786498d67987adfd7cb324002b8cb1a551e8f56dc02b1a3e3091027,a99b34a852b06de1086e7cc77d2555e2777316414558a5413763937770c06666
E,single_shape,TinyCNN,5009,release_early,200,768,1.9862936735153198,159.2904052734375,165.3090057373047,0.0,0.0,0.0,2c233a2fba073f3ee6648bd8b94821212fa2ce7974e36347dec791801c163505,3dfe5c3f2191b101e9779c8bb2f47a45c681c752d0afcde5b92cddca832ab448,a99b34a852b06de1086e7cc77d2555e2777316414558a5413763937770c06666
E,single_shape,TinyCNN,5009,release_late,200,768,1.9751170873641968,128.84103393554688,133.09230041503906,0.0,0.0,0.0,f2adccc672b71ff9e83d985dad74dda4962e134af82116336962e82050ea771d,38cd64c86d87ead50da00ca9a72548b634cda378fa13c7a86b75acafaf1a57d6,a99b34a852b06de1086e7cc77d2555e2777316414558a5413763937770c06666
E,single_shape,TinyCNN,5009,retention_0p1,200,768,1.8617042303085327,60.32915496826172,61.71052169799805,0.0,0.0,0.0,ee5b7470f227da83e6bcc078085b320cd5a69886590af50dd1b8d0242822e6ec,4c83e8878d7c88399f09c10762e6a36d21b9e38afc7cbf7b7157b425a38105de,a99b34a852b06de1086e7cc77d2555e2777316414558a5413763937770c06666
E,single_shape,TinyCNN,5009,retention_1,200,768,1.6168880462646484,34.51705551147461,35.752723693847656,0.0,0.0,0.0,35c1a5bae47373e468e8e62ae3e4463c831b8d04d53c4f9e0ec5e57402a0c6f0,7879c2bd073ae23e0023da0027b837a47358cd4409eba1e90c95e2cb4e26a0ac,a99b34a852b06de1086e7cc77d2555e2777316414558a5413763937770c06666
E,single_shape,TinyCNN,5009,template_init,200,768,1.9855358600616455,160.09381103515625,164.13449096679688,0.0,0.0,0.0,3777a323a832daf33f2acefe3b9363f4ed5aab5766b67b9184bac8f2c9bcf81a,de0c787d4a4fba6a9772ed6081a3b5cf7a03052a8bec7cf0c675b6e2119d3a32,a99b34a852b06de1086e7cc77d2555e2777316414558a5413763937770c06666
E,single_shape,TinyCNN,5010,release_default,200,768,1.9631046056747437,138.7796630859375,141.70486450195312,0.0,0.0,0.0,90743c0abe8721ff08ff52aacda233261fda344ff8fae36edf2c2d9ba5f8fc87,fa24fe39c8b08bc3e148c585655e55720c908953adfd495115017834509ce78a,775d9a05e139ce4c20d632b4026a6de64bd167a41ce6366092418bb29df0eb7f
