stage,task,architecture,block,condition,epoch,pair_count,prob_input_effect_mpp,centered_logit_input_effect_mpp,raw_logit_input_effect_mpp,max_legacy_prob_fidelity_abs_diff,full_patch_max_logit_error,noop_max_logit_error,checkpoint_sha256,ranking_artifact_sha256,test_data_sha256
D,two_concepts,TwoLayerCNN,4000,template_retention_1,200,512,1.8992393016815186,206.15289306640625,208.3713836669922,0.0,0.0,0.0,ae1b5d319b3c4c063bf8f01a1d71bcca33a36654bb5862e489d6972c7c520f46,219448fd3db0796639ec056a2f9abb442a2b6b7f68304963736d9057319618a5,7e4df230824b6c322704f3aec14fda2d1e36bc5a12c56d4dd8ce8ad3f11c9bc1
D,two_concepts,TwoLayerCNN,4001,template_release,200,512,1.9790897369384766,416.05963134765625,420.41497802734375,6.023440701774518e-08,0.0,0.0,3202a0544363aa2dd7f3c4211221637510ff0be7d51371105de77fe42586d539,c8e1768cff6d7a4f7bdbd618c059a0a7c2882e0cdf448f712893aa819f085ebc,fa7a51c8579cfae76deee9db9753e136e9d2570f43a6f51276515b4acd3582a5
D,two_concepts,TwoLayerCNN,4001,template_retention_1,200,512,1.866659164428711,186.72457885742188,187.68472290039062,3.991398767055898e-09,0.0,0.0,07d90e950ae52c1e354aa2149397fa707141734183f16a1fec1595de8e269440,78c1b7920d822290bc604dcbe2af15588c4981f6eb61237503589cc53e5532a7,fa7a51c8579cfae76deee9db9753e136e9d2570f43a6f51276515b4acd3582a5
D,two_concepts,TwoLayerCNN,4002,template_release,200,512,1.9872124195098877,406.67864990234375,415.4381103515625,2.249557373712463e-08,0.0,0.0,9475b6b339e0996bd4a49bc6edf854c553d0581ff5b79338d57b2d994fd509e2,de4a67315ffde368a53d78c427d8fbb2321ea07cbc822f628bc1de70dc9a8307,57832379b1ca8079b9f9b4aec62bcbc46551eadbe5345d8a65229dccd1ae7cca
D,two_concepts,TwoLayerCNN,4002,template_retention_1,200,512,1.9442756175994873,212.3903045654297,217.80197143554688,6.131295815503535e-08,0.0,0.0,3deab7c054c929be8bcfb7de44e836a74351fbe5fef1cfe4ddba1902ace4ede6,070be0d7b249d8c6cf8bf64ba06da23a5049ed5cf13717162bb6b97e97954376,57832379b1ca8079b9f9b4aec62bcbc46551eadbe5345d8a65229dccd1ae7cca
D,two_concepts,TwoLayerCNN,4003,template_release,200,512,1.9603543281555176,406.86175537109375,408.2596435546875,6.081007297709107e-08,0.0,0.0,0b29e648c0f98675d96b2c1c0350b8657d905425f98ced6171b0c71fdba93b04,ff75a18958779459ece0e30fa75d6fdcc26e890c84ece5adff5e6f71a7fcf0b8,67d8b05cccbe91a86a4466fe5879fe1f45178403844069bf8169ed45b20fcc9d
D,two_concepts,TwoLayerCNN,4003,template_retention_1,200,512,1.8881049156188965,195.51934814453125,196.05615234375,6.129081076000631e-08,0.0,0.0,b14a4683bf2dd85e780cf173d6304bdec9ba74120187d5a65f50ac51bb38f2e4,a9c56df969c25137c44a4eff7c7872c17e8bdcc5dfd8aef5dddee3b8fb3f3782,67d8b05cccbe91a86a4466fe5879fe1f45178403844069bf8169ed45b20fcc9d
D,two_concepts,TwoLayerCNN,4004,template_release,200,512,1.9876353740692139,432.8010559082031,433.55975341796875,5.997543162106211e-08,0.0,0.0,898f3bcaf8652998bae7e296527ad64f5abd5faf59c080d20e7d873116e2b720,ec167943dd10a49a75e8da9ad368e2272be0727d326fe770552f8e24ed35cd66,d1e5d8a52efdb0623e99016f46183f6713220221e7c04600b902f3e5781b5b5f
D,two_concepts,TwoLayerCNN,4004,template_retention_1,200,512,1.8992919921875,193.98501586914062,194.86996459960938,6.229594595730248e-08,0.0,0.0,33d02b65448bb836b7fe3868ed75ecc8eaa0156d04a4e8957215bdd903b4a3cf,b85e7cc69c8de5b949f2c773ff0683eafc63b0f48704f5a13077b7ba882694b7,d1e5d8a52efdb0623e99016f46183f6713220221e7c04600b902f3e5781b5b5f
D,two_concepts,TwoLayerCNN,4005,template_release,200,512,1.9858956336975098,467.22821044921875,473.5198974609375,6.00279729257025e-08,0.0,0.0,aa110b1302582b3135896e6a448bc4cb833779437717b32c98e991a2eb44d6e2,2b93ceed5a8b027aa34d078d3ab4e2db440417544c69fb4ac09e14609f380d29,93434f09edf4292d7b49fd302cbcbc7152591451adbbbd6c7977e6665ab02d4e
D,two_concepts,TwoLayerCNN,4005,template_retention_1,200,512,1.944512963294983,223.15570068359375,224.755126953125,6.130547058891267e-08,0.0,0.0,dff8cf2388c910d3165fae2c5745c2712020d13a99f2f5e1f6e2d99d50881930,5ad984416767a08b7a5fce583358ccb83125ae5c60d6c9aac39841f20544ade5,93434f09edf4292d7b49fd302cbcbc7152591451adbbbd6c7977e6665ab02d4e
D,two_concepts,TwoLayerCNN,4006,template_release,200,512,1.9654985666275024,428.51593017578125,449.86053466796875,7.581365091269276e-09,0.0,0.0,ac815193419c3f603cdb2241e0e2656775136639091b07eff498ee9d973cc887,f2edc0888dcbf962bd1dba98a8117f88c9d9ca95498da212a5bfd1cd451a22f1,9c571a1b2e7e299c543eed115ad5041a084c0ecfe8178d2b358edad29b8f3699
D,two_concepts,TwoLayerCNN,4006,template_retention_1,200,512,1.8837854862213135,210.5822296142578,219.52024841308594,6.328177115655365e-08,0.0,0.0,50e114e2d50fc2af46dcd89c58d08a6772fac05d3e5a14a5f48015c39258296b,8b522d731b2fdc6ff3beee8d113890fd3218261f87aa3224c8bee8550183fc8e,9c571a1b2e7e299c543eed115ad5041a084c0ecfe8178d2b358edad29b8f3699
D,two_concepts,TwoLayerCNN,4007,template_release,200,512,1.9866431951522827,370.81842041015625,375.41986083984375,1.8751683539264263e-09,0.0,0.0,b8ffee07be217207c1cc1f9de8dfda4e62b0d2073fc650720d5e66e06013a8d9,4c4606251cb7a0aff7bb99eedeb99ad5e49c71b5986c2fe264950295792f0733,1e45a5f99132f15a51e0c96bcd4aaa661ca9a1c0afce8145239b7f31914e58ca
D,two_concepts,TwoLayerCNN,4007,template_retention_1,200,512,1.9296355247497559,179.44760131835938,182.61471557617188,6.1778137827595e-08,0.0,0.0,c2ae17587151a0931a291da580b224e185c31c972b5d47e5ff4016af94398121,3d27a399cc7a8f036b97fafee16f47ea7298fcde3c631f069f531304a7c545e7,1e45a5f99132f15a51e0c96bcd4aaa661ca9a1c0afce8145239b7f31914e58ca
D,two_concepts,TwoLayerCNN,4008,template_release,200,512,1.96327805519104,367.73358154296875,372.15350341796875,6.071951419439614e-08,0.0,0.0,0fd7b908e8b491939d4012709eb749021e85bdbc773a7aed37e8a9ea4193fcda,9ea135c4aa9eb3f45053e55fef7c6039ecf118b6a8078ad681aadaa6c995d4ca,5e60040a1f1e4db56b1d0ae79ee22e14a9498569ed9083b5ebf0e18ddfb168b2
D,two_concepts,TwoLayerCNN,4008,template_retention_1,200,512,1.9013484716415405,194.65380859375,196.2172393798828,6.26972298523043e-08,0.0,0.0,6c85158ae624fe42b7ee978c4ec79618bdd76fc35536635fc4b666fe032fee88,e3a45fd0a557aef9188d5920e475fd1095067466f3c5422f4262d38bc19928ae,5e60040a1f1e4db56b1d0ae79ee22e14a9498569ed9083b5ebf0e18ddfb168b2
D,two_concepts,TwoLayerCNN,4009,template_release,200,512,1.9628524780273438,378.49676513671875,400.39971923828125,6.073267533324156e-08,0.0,0.0,262c82a6720f0c238d8dffc192a15b902461083ea0ca0e43de214974ba240e9b,333f37853039fe944e3c437ada4c85d417fb699164605187e8bcf39e936ec76f,4695c6e3666dfa34f108c16e6d879fe92ed440cb7555a5cc6be6861384e035ca
D,two_concepts,TwoLayerCNN,4009,template_retention_1,200,512,1.9092199802398682,176.3536376953125,189.935546875,0.0,0.0,0.0,9ef3d742fdee2bbffcaed8bbb9b22493b7d4a953870d88efa2cda93e251044e4,8b8ede9aa334d80579892a84c89bfd647a1d49424aeeb4e1e0b983fe9ac17435,4695c6e3666dfa34f108c16e6d879fe92ed440cb7555a5cc6be6861384e035ca
D,two_concepts,TwoLayerCNN,4010,template_release,200,512,1.9853296279907227,469.42828369140625,479.2718200683594,4.691023125502625e-10,0.0,0.0,0c8ff637ebf9602b4948b95dc3349bf454a27abcb45dd7690fcfa99382eb645c,620e9404c9445debb5611ab25de2596a7d6f4d2f1e1890c50536d64510d07a2f,41bf48f76f24404ddec74eecb3745234bd90c88e652a503737ad082c82c47360
D,two_concepts,TwoLayerCNN,4010,template_retention_1,200,512,1.9375404119491577,225.76693725585938,233.32754516601562,3.076304599947122e-08,0.0,0.0,f0d4a4a1895f5f5b526f8914580793caa627d3b409fe0a743c7fdfc192dfd533,031d21032681537a37c64c3f99571ace3826d3c9064d30fcda28284f280fd1ea,41bf48f76f24404ddec74eecb3745234bd90c88e652a503737ad082c82c47360
D,two_concepts,TwoLayerCNN,4011,template_release,200,512,1.969914436340332,415.2726135253906,417.28717041015625,6.051495804459961e-08,0.0,0.0,82b8ee5157bf3cee71db0c829b6c010a0523765f5f880ce5b7f567adcc9b21c5,8d8a9a8b883e8c722c7fb51eb2d0f75b0bc3ac05f38250a0379d482664d1c59d,f47f3177e39a318bef3fbe578b9e0511488642ac43ffac5f307528a4079d4bc3
D,two_concepts,TwoLayerCNN,4011,template_retention_1,200,512,1.9410861730575562,226.21722412109375,228.7313690185547,3.838356188445857e-09,0.0,0.0,6fefafd9e3068bbb56857eeeddd69f708d4f30ecb3ecfce2b3783093f9c9efa0,b156b89a13e3c36b2d7d3da78542f287a7447f11cc6dabc099d19bbbc7cefc7d,f47f3177e39a318bef3fbe578b9e0511488642ac43ffac5f307528a4079d4bc3
D,two_concepts,TwoLayerCNN,4012,template_release,200,512,1.958870530128479,380.45660400390625,386.08612060546875,3.042806939745901e-08,0.0,0.0,cf5d4327afc9f70fc6dfff4bd7ea952512ce47c06094426329a1de2c97593af2,4a0b68cbedd31ceef04578348ec3983f18ce58f413b9c04ebe0b411645360d26,5c15cbcc76a872d787584549dd5adf5a97afe45954e48596dea0dcbd1c569194
D,two_concepts,TwoLayerCNN,4012,template_retention_1,200,512,1.9079482555389404,198.80210876464844,201.5117950439453,0.0,0.0,0.0,51966edb96d1bcd6e3452f0a8d7c6f1808c61230a9fa38ed1731fb9b6085bb1c,61e3965c7304509e0b609c801d394f31bf26662933e37b7d81911bd048115673,5c15cbcc76a872d787584549dd5adf5a97afe45954e48596dea0dcbd1c569194
D,two_concepts,TwoLayerCNN,4013,template_release,200,512,1.9448521137237549,376.419921875,398.4215087890625,6.129478369309993e-08,0.0,0.0,859b2ae31907b0917c354c8ac80f2993d0accfe9bc6aea2e31254010667b652a,7e927f7b3c90637e2b750d4b9acb6a9e418d1f5a961e81534c8ff1960bae4577,f42c91d0972cfe28c15affd6a1fcc78b51c112f7d958422119a72eeebd771444
