architecture,method,k,metric,n,mean,sd,ci_low,ci_high
TinyCNN,auroc,1,prob_error_reduction,20,-0.18651539236307144,0.19288719590146372,-0.27678937885889776,-0.09624140586724514
TinyCNN,auroc,2,prob_error_reduction,20,0.05281562246382236,0.30843314334724764,-0.09153553204006974,0.19716677696771445
TinyCNN,auroc,4,prob_error_reduction,20,0.7308179486542941,0.18438347207214847,0.6445238274188037,0.8171120698897845
TinyCNN,auroc,8,prob_error_reduction,20,0.8482436181395314,0.04633442139139502,0.8265584414152273,0.8699287948638356
TinyCNN,validation_patch,1,prob_error_reduction,20,-0.07581697553396224,0.15743345310922233,-0.14949809964151317,-0.002135851426411303
TinyCNN,validation_patch,2,prob_error_reduction,20,0.3502948582172394,0.16196399333192066,0.27449337601660073,0.42609634041787803
TinyCNN,validation_patch,4,prob_error_reduction,20,0.7961383642628789,0.0856613050928185,0.7560476394067078,0.8362290891190499
TinyCNN,validation_patch,8,prob_error_reduction,20,0.8540868663156289,0.04760147797361769,0.8318086888570954,0.8763650437741625
TwoLayerCNN,contrast,1,prob_error_reduction,20,-0.022140079736709596,0.035209911739372456,-0.038618825679509756,-0.005661333793909436
TwoLayerCNN,contrast,2,prob_error_reduction,20,-0.07096521854400635,0.04758131961856483,-0.09323396160196544,-0.04869647548604726
TwoLayerCNN,contrast,4,prob_error_reduction,20,-0.24267441630363465,0.13726183184076737,-0.3069149310567022,-0.1784339015505671
TwoLayerCNN,contrast,8,prob_error_reduction,20,0.034699947386980054,0.20140223619169087,-0.0595592006359186,0.1289590954098787
TwoLayerCNN,auroc,1,prob_error_reduction,20,-0.02676510214805603,0.034557003402057584,-0.04293827758292115,-0.010591926713190907
TwoLayerCNN,auroc,2,prob_error_reduction,20,-0.08259566426277161,0.05299402993267405,-0.1073976337255115,-0.057793694800031714
TwoLayerCNN,auroc,4,prob_error_reduction,20,-0.24437205791473388,0.1207237484716499,-0.3008725113964808,-0.18787160443298695
TwoLayerCNN,auroc,8,prob_error_reduction,20,0.05707619711756706,0.21774489097179214,-0.04483154878156635,0.1589839430167005
TwoLayerCNN,validation_patch,1,prob_error_reduction,20,-0.047562909126281736,0.05145424192277717,-0.07164423561755724,-0.023481582635006232
TwoLayerCNN,validation_patch,2,prob_error_reduction,20,-0.13940081596374512,0.11799383873376956,-0.19462363235993801,-0.08417799956755223
TwoLayerCNN,validation_patch,4,prob_error_reduction,20,-0.14161397218704225,0.21849754245446834,-0.24387396982308143,-0.03935397455100306
TwoLayerCNN,validation_patch,8,prob_error_reduction,20,0.07860149019397795,0.04150822279635079,0.05917504394039806,0.09802793644755785
TinyCNN,contrast,1,prob_fidelity,20,-0.3459066201496159,0.12266131698868048,-0.40331388361075876,-0.288499356688473
TinyCNN,contrast,2,prob_fidelity,20,-0.33168001156215293,0.16341619709097113,-0.4081611460430844,-0.25519887708122146
TinyCNN,contrast,4,prob_fidelity,20,-0.022144804051977433,0.0432774752114553,-0.04239928592441947,-0.0018903221795353933
TinyCNN,contrast,8,prob_fidelity,20,0.006510802170668267,0.005907211945429168,0.0037461418784315763,0.009275462462904959
TinyCNN,auroc,1,prob_fidelity,20,-0.30396845559926,0.13287707949515715,-0.36615684308599844,-0.24178006811252156
TinyCNN,auroc,2,prob_fidelity,20,-0.3236541183391291,0.16053264123609556,-0.3987857071382623,-0.24852252953999593
TinyCNN,auroc,4,prob_fidelity,20,-0.03318482599480063,0.07782159889037712,-0.06960645540612956,0.0032368034165282944
TinyCNN,auroc,8,prob_fidelity,20,0.005846047305371566,0.007039235834832397,0.0025515835244826536,0.009140511086260478
TinyCNN,validation_patch,1,prob_fidelity,20,-0.28559667584718446,0.07168536200184221,-0.3191464579934737,-0.2520468937008952
