architecture,method,metric,block,B
TwoLayerCNN,contrast,prob_error_reduction,4016,-0.26431217789649963
TwoLayerCNN,contrast,prob_error_reduction,4017,-0.03644266724586487
TwoLayerCNN,contrast,prob_error_reduction,4018,-0.06959381699562073
TwoLayerCNN,contrast,prob_error_reduction,4019,0.008315980434417725
TwoLayerCNN,auroc,prob_error_reduction,4000,-0.13615074753761292
TwoLayerCNN,auroc,prob_error_reduction,4001,0.08703556656837463
TwoLayerCNN,auroc,prob_error_reduction,4002,0.01357608288526535
TwoLayerCNN,auroc,prob_error_reduction,4003,0.07126663625240326
TwoLayerCNN,auroc,prob_error_reduction,4004,0.01250949501991272
TwoLayerCNN,auroc,prob_error_reduction,4005,-0.012814164161682129
TwoLayerCNN,auroc,prob_error_reduction,4006,-0.06630706787109375
TwoLayerCNN,auroc,prob_error_reduction,4007,0.050965890288352966
TwoLayerCNN,auroc,prob_error_reduction,4008,-0.3418723940849304
TwoLayerCNN,auroc,prob_error_reduction,4009,-0.04801127314567566
TwoLayerCNN,auroc,prob_error_reduction,4010,-0.11233484745025635
TwoLayerCNN,auroc,prob_error_reduction,4011,-0.21832755208015442
TwoLayerCNN,auroc,prob_error_reduction,4012,0.11914688348770142
TwoLayerCNN,auroc,prob_error_reduction,4013,0.09337291121482849
TwoLayerCNN,auroc,prob_error_reduction,4014,0.05214744806289673
TwoLayerCNN,auroc,prob_error_reduction,4015,-0.09135836362838745
TwoLayerCNN,auroc,prob_error_reduction,4016,-0.1028447151184082
TwoLayerCNN,auroc,prob_error_reduction,4017,-0.004727154970169067
TwoLayerCNN,auroc,prob_error_reduction,4018,-0.06508785486221313
TwoLayerCNN,auroc,prob_error_reduction,4019,-0.07953572273254395
TwoLayerCNN,validation_patch,prob_error_reduction,4000,0.06729830056428909
TwoLayerCNN,validation_patch,prob_error_reduction,4001,0.17159380670636892
TwoLayerCNN,validation_patch,prob_error_reduction,4002,0.10601937025785446
TwoLayerCNN,validation_patch,prob_error_reduction,4003,0.1374931037425995
TwoLayerCNN,validation_patch,prob_error_reduction,4004,-0.08249390870332718
TwoLayerCNN,validation_patch,prob_error_reduction,4005,-0.08571361005306244
TwoLayerCNN,validation_patch,prob_error_reduction,4006,0.18881166726350784
TwoLayerCNN,validation_patch,prob_error_reduction,4007,0.11037915199995041
TwoLayerCNN,validation_patch,prob_error_reduction,4008,0.11748983152210712
TwoLayerCNN,validation_patch,prob_error_reduction,4009,0.15023146197199821
TwoLayerCNN,validation_patch,prob_error_reduction,4010,0.19933547778055072
TwoLayerCNN,validation_patch,prob_error_reduction,4011,0.012247279286384583
TwoLayerCNN,validation_patch,prob_error_reduction,4012,0.04987058416008949
TwoLayerCNN,validation_patch,prob_error_reduction,4013,0.037568673491477966
TwoLayerCNN,validation_patch,prob_error_reduction,4014,-0.02254309505224228
TwoLayerCNN,validation_patch,prob_error_reduction,4015,-0.04808076471090317
TwoLayerCNN,validation_patch,prob_error_reduction,4016,-0.06241943687200546
TwoLayerCNN,validation_patch,prob_error_reduction,4017,0.13247593306005
TwoLayerCNN,validation_patch,prob_error_reduction,4018,0.0631522685289383
TwoLayerCNN,validation_patch,prob_error_reduction,4019,-0.0032036639750003815
TinyCNN,contrast,prob_fidelity,4000,0.39958455183652797
TinyCNN,contrast,prob_fidelity,4001,0.4451433806797672
TinyCNN,contrast,prob_fidelity,4002,0.30879263954655967
TinyCNN,contrast,prob_fidelity,4003,0.5076894399089376
TinyCNN,contrast,prob_fidelity,4004,0.16601303632981695
TinyCNN,contrast,prob_fidelity,4005,0.27765866833435926
TinyCNN,contrast,prob_fidelity,4006,0.2964875916534635
TinyCNN,contrast,prob_fidelity,4007,0.27856409484589467
TinyCNN,contrast,prob_fidelity,4008,0.2550710926041147
TinyCNN,contrast,prob_fidelity,4009,0.4493668710231692
TinyCNN,contrast,prob_fidelity,4010,0.15948042730286022
TinyCNN,contrast,prob_fidelity,4011,0.3612106879199306
TinyCNN,contrast,prob_fidelity,4012,0.4843280549059763
TinyCNN,contrast,prob_fidelity,4013,0.25731704559088964
TinyCNN,contrast,prob_fidelity,4014,0.2211914686742834
TinyCNN,contrast,prob_fidelity,4015,0.3876285637340401
TinyCNN,contrast,prob_fidelity,4016,0.3067551634336766
TinyCNN,contrast,prob_fidelity,4017,0.31341835711599836
TinyCNN,contrast,prob_fidelity,4018,0.598584210583355
TinyCNN,contrast,prob_fidelity,4019,0.14524095228097572
TinyCNN,auroc,prob_fidelity,4000,0.19833436711922536
TinyCNN,auroc,prob_fidelity,4001,0.44070131471814966
TinyCNN,auroc,prob_fidelity,4002,0.37148227459836286
TinyCNN,auroc,prob_fidelity,4003,0.38830599660790927
TinyCNN,auroc,prob_fidelity,4004,0.4323084874590468
TinyCNN,auroc,prob_fidelity,4005,0.16779447761127997
TinyCNN,auroc,prob_fidelity,4006,0.36106598602495227
TinyCNN,auroc,prob_fidelity,4007,0.3468085384570106
TinyCNN,auroc,prob_fidelity,4008,0.3705506912428961
TinyCNN,auroc,prob_fidelity,4009,0.23986197864853087
TinyCNN,auroc,prob_fidelity,4010,0.13561873715962586
TinyCNN,auroc,prob_fidelity,4011,0.3612106879199306
TinyCNN,auroc,prob_fidelity,4012,0.4839334432259396
TinyCNN,auroc,prob_fidelity,4013,0.23323510052666624
TinyCNN,auroc,prob_fidelity,4014,0.09785255511381646
TinyCNN,auroc,prob_fidelity,4015,0.1832190470823663
TinyCNN,auroc,prob_fidelity,4016,0.23849502315147714
TinyCNN,auroc,prob_fidelity,4017,0.3246876480889369
TinyCNN,auroc,prob_fidelity,4018,0.3808531215323152
TinyCNN,auroc,prob_fidelity,4019,0.24651847620116218
TinyCNN,validation_patch,prob_fidelity,4000,0.14166038854299084
TinyCNN,validation_patch,prob_fidelity,4001,0.28902355428365334
TinyCNN,validation_patch,prob_fidelity,4002,0.2636928560389783
TinyCNN,validation_patch,prob_fidelity,4003,0.3219641252909517
TinyCNN,validation_patch,prob_fidelity,4004,0.15981956992601049
TinyCNN,validation_patch,prob_fidelity,4005,0.20603120805529812
TinyCNN,validation_patch,prob_fidelity,4006,0.31688314936529943
TinyCNN,validation_patch,prob_fidelity,4007,0.26433456559758023
TinyCNN,validation_patch,prob_fidelity,4008,0.2322560704709153
TinyCNN,validation_patch,prob_fidelity,4009,0.22160346197225977
TinyCNN,validation_patch,prob_fidelity,4010,0.20035168705005257
TinyCNN,validation_patch,prob_fidelity,4011,0.25390131341916616
TinyCNN,validation_patch,prob_fidelity,4012,0.18472840856605327
TinyCNN,validation_patch,prob_fidelity,4013,0.224903623510132
TinyCNN,validation_patch,prob_fidelity,4014,0.1945474356439707
TinyCNN,validation_patch,prob_fidelity,4015,0.25721922498500427
TinyCNN,validation_patch,prob_fidelity,4016,0.19885602774471517
TinyCNN,validation_patch,prob_fidelity,4017,0.23413905880363722
TinyCNN,validation_patch,prob_fidelity,4018,0.3147552115865462
TinyCNN,validation_patch,prob_fidelity,4019,0.12929683207812326
TwoLayerCNN,contrast,prob_fidelity,4000,-0.10392207730675468
TwoLayerCNN,contrast,prob_fidelity,4001,-0.0009038129281560559
TwoLayerCNN,contrast,prob_fidelity,4002,-0.05794414707928025
TwoLayerCNN,contrast,prob_fidelity,4003,-0.00494629338298036
TwoLayerCNN,contrast,prob_fidelity,4004,-0.05539938508816655
