stage,task,architecture,block,condition,epoch,method,k,selection_valid,stored_prob_fidelity,legacy_prob_fidelity_abs_diff,prob_fidelity,centered_logit_fidelity,raw_logit_fidelity,prob_patch_error_mpp,prob_error_reduction,centered_logit_patch_error_mpp,centered_logit_error_reduction,raw_logit_patch_error_mpp,raw_logit_error_reduction,cf_accuracy,agreement
D,two_concepts,TinyCNN,4001,template_release,200,contrast,2,True,0.25288522512673317,0.0,0.25288522512673317,0.5325716306670486,0.5335054579317009,1.4331390857696533,0.48509252071380615,80.7282943725586,91.9790267944336,80.9336929321289,92.55962371826172,0.05859375,0.05859375
D,two_concepts,TinyCNN,4001,template_release,200,contrast,4,True,0.9570424177250652,3.884088384253914e-09,0.9570424216091535,0.8998967491054063,0.8995716754479177,0.08240257948637009,1.8358290269970894,17.288562774658203,155.41875839233398,17.42364501953125,156.06967163085938,0.953125,0.953125
D,two_concepts,TinyCNN,4001,template_release,200,contrast,8,True,0.998757288234492,2.427554823825062e-10,0.9987572879917365,0.9912381862310318,0.9911905297668666,0.0023838095366954803,1.915847796946764,1.513229250907898,171.1940919160843,1.5283842086791992,171.96493244171143,0.99609375,0.99609375
D,two_concepts,TinyCNN,4001,template_release,200,auroc,1,True,0.061828907212671314,0.0,0.061828907212671314,0.3000244024276616,0.3025842084534661,1.7996292114257812,0.11860239505767822,120.89089965820312,51.81642150878906,120.99697875976562,52.496337890625,0.01171875,0.01171875
D,two_concepts,TinyCNN,4001,template_release,200,auroc,2,True,0.26251067968936237,1.2429082762999144e-07,0.26251080398019,0.5600270564788092,0.5614175846772286,1.414674997329712,0.5035566091537476,75.98653411865234,96.72078704833984,76.09111785888672,97.4021987915039,0.06640625,0.06640625
D,two_concepts,TinyCNN,4001,template_release,200,auroc,4,True,0.9573024341364261,3.884088273231612e-09,0.9573024380205144,0.9108466482797348,0.9104670354364067,0.08190380036830902,1.8363278061151505,15.397436141967773,157.3098850250244,15.533370971679688,157.95994567871094,0.951171875,0.951171875
D,two_concepts,TinyCNN,4001,template_release,200,auroc,8,True,0.998757288234492,2.427554823825062e-10,0.9987572879917365,0.9912381862310318,0.9911905297668666,0.0023838095366954803,1.915847796946764,1.513229250907898,171.1940919160843,1.5283842086791992,171.96493244171143,0.99609375,0.99609375
D,two_concepts,TinyCNN,4001,template_release,200,validation_patch,1,True,0.1478451202053881,0.0,0.1478451202053881,0.4267800828834375,0.4289037487759517,1.6346302032470703,0.28360140323638916,98.999267578125,73.70805358886719,99.08138275146484,74.41193389892578,0.029296875,0.029296875
D,two_concepts,TinyCNN,4001,template_release,200,validation_patch,2,True,0.46121274786387567,0.0,0.46121274786387567,0.6421675098550644,0.6428948735353857,1.0335185527801514,0.8847130537033081,61.80028533935547,110.90703582763672,61.955352783203125,111.5379638671875,0.25390625,0.25390625
D,two_concepts,TinyCNN,4001,template_release,200,validation_patch,4,True,0.9674523610347758,3.884088384253914e-09,0.9674523649188642,0.9226836258385132,0.92210127688003,0.06243389844894409,1.8557977080345154,13.35310173034668,159.3542194366455,13.514908790588379,159.97840785980225,0.9453125,0.9453125
D,two_concepts,TinyCNN,4001,template_release,200,validation_patch,8,True,0.999777633164712,1.0620559987017941e-10,0.9997776332709176,0.9942815669383461,0.9941831706135535,0.0004265508323442191,1.9178050556511153,0.987615168094635,171.71970599889755,1.009181022644043,172.48413562774658,0.998046875,0.998046875
D,two_concepts,TinyCNN,4001,template_retention_1,200,contrast,1,True,0.4238486741691935,5.530009361542909e-08,0.42384861886909986,0.5445733581078973,0.54664575609335,0.6209988594055176,0.45684099197387695,11.411664962768555,13.645421981811523,11.45905590057373,13.817105293273926,0.130859375,0.1328125
D,two_concepts,TinyCNN,4001,template_retention_1,200,contrast,2,True,0.743404523724625,2.7650046918736848e-08,0.7434045513746719,0.7691263426638848,0.7698674908247729,0.27656883001327515,0.8012710213661194,5.785021781921387,19.27206516265869,5.816866874694824,19.459294319152832,0.57421875,0.578125
D,two_concepts,TinyCNN,4001,template_retention_1,200,contrast,4,True,0.9228272123134286,0.0,0.9228272123134286,0.9101483448059051,0.9106708178425758,0.08317990601062775,0.9946599453687668,2.251420736312866,22.805666208267212,2.2578988075256348,23.01826238632202,0.8828125,0.88671875
D,two_concepts,TinyCNN,4001,template_retention_1,200,contrast,8,True,0.9952247755604222,1.7281279740544164e-09,0.9952247738322942,0.9886940167391964,0.9886701161837002,0.005146929062902927,1.0726929223164916,0.28329500555992126,24.773791939020157,0.2863759696483612,24.989785224199295,0.99609375,0.99609375
D,two_concepts,TinyCNN,4001,template_retention_1,200,auroc,1,True,0.4238486741691935,5.530009361542909e-08,0.42384861886909986,0.5445733581078973,0.54664575609335,0.6209988594055176,0.45684099197387695,11.411664962768555,13.645421981811523,11.45905590057373,13.817105293273926,0.130859375,0.1328125
D,two_concepts,TinyCNN,4001,template_retention_1,200,auroc,2,True,0.743404523724625,2.7650046918736848e-08,0.7434045513746719,0.7691263426638848,0.7698674908247729,0.27656883001327515,0.8012710213661194,5.785021781921387,19.27206516265869,5.816866874694824,19.459294319152832,0.57421875,0.578125
D,two_concepts,TinyCNN,4001,template_retention_1,200,auroc,4,True,0.9228272123134286,0.0,0.9228272123134286,0.9101483448059051,0.9106708178425758,0.08317990601062775,0.9946599453687668,2.251420736312866,22.805666208267212,2.2578988075256348,23.01826238632202,0.8828125,0.88671875
D,two_concepts,TinyCNN,4001,template_retention_1,200,auroc,8,True,0.9947433450415614,1.7281279740544164e-09,0.9947433433134334,0.9871090589230677,0.98694327975546,0.0056658340618014336,1.072174017317593,0.3230094313621521,24.734077513217926,0.33002379536628723,24.94613739848137,0.998046875,0.998046875
D,two_concepts,TinyCNN,4001,template_retention_1,200,validation_patch,1,True,0.4238486741691935,5.530009361542909e-08,0.42384861886909986,0.5445733581078973,0.54664575609335,0.6209988594055176,0.45684099197387695,11.411664962768555,13.645421981811523,11.45905590057373,13.817105293273926,0.130859375,0.1328125
D,two_concepts,TinyCNN,4001,template_retention_1,200,validation_patch,2,True,0.743404523724625,2.7650046918736848e-08,0.7434045513746719,0.7691263426638848,0.7698674908247729,0.27656883001327515,0.8012710213661194,5.785021781921387,19.27206516265869,5.816866874694824,19.459294319152832,0.57421875,0.578125
D,two_concepts,TinyCNN,4001,template_retention_1,200,validation_patch,4,True,0.9528344878702563,3.4562558370865304e-09,0.9528344913265121,0.9389080701035919,0.9392049234424299,0.050836868584156036,1.0270029827952385,1.5307859182357788,23.5263010263443,1.536665916442871,23.739495277404785,0.93359375,0.9375
D,two_concepts,TinyCNN,4001,template_retention_1,200,validation_patch,8,True,0.994543701766567,1.296096008296388e-09,0.994543700470471,0.9861159981289673,0.9858526945636383,0.0058810170739889145,1.0719588343054056,0.3478926122188568,24.70919433236122,0.35758957266807556,24.91857162117958,0.998046875,0.998046875
D,two_concepts,TinyCNN,4002,template_release,200,contrast,1,True,0.18825769476853427,6.286293130486342e-08,0.18825763190560296,0.4627733347813804,0.46258078687349125,1.539336919784546,0.35699987411499023,73.06494140625,62.938995361328125,73.284912109375,63.07958984375,0.099609375,0.099609375
D,two_concepts,TinyCNN,4002,template_release,200,contrast,2,True,0.43914635659651535,0.0,0.43914635659651535,0.6538571531469107,0.652945533215185,1.0635673999786377,0.8327693939208984,47.07678985595703,88.9271469116211,47.32592010498047,89.03858184814453,0.24609375,0.24609375
D,two_concepts,TinyCNN,4002,template_release,200,contrast,4,True,0.8823532499443978,7.857866468619079e-09,0.8823532420865313,0.8749582779563777,0.8718643089361209,0.22309786081314087,1.6732389330863953,17.006166458129883,118.99777030944824,17.473161697387695,118.8913402557373,0.814453125,0.814453125
