task,architecture,profile,method,k,metric,n,mean,sd,ci_low,ci_high
single_shape,TinyCNN,release_default,validation_patch,6,prob_error_reduction,50,1.598359327018261,0.12209452709325767,1.563660446345119,1.633058207691403
single_shape,TinyCNN,release_default,validation_patch,7,prob_fidelity,50,0.890094284567181,0.05111499975960827,0.8755675623668353,0.9046210067675267
single_shape,TinyCNN,release_default,validation_patch,7,centered_logit_fidelity,50,0.8291608679790571,0.036979124233037584,0.8186515171530419,0.8396702188050723
single_shape,TinyCNN,release_default,validation_patch,7,prob_error_reduction,50,1.7640563401579856,0.10207012498084045,1.7350483315983747,1.7930643487175966
single_shape,TinyCNN,release_default,validation_patch,8,prob_fidelity,50,0.9418827512059232,0.04328999738464025,0.9295798700747901,0.9541856323370563
single_shape,TinyCNN,release_default,validation_patch,8,centered_logit_fidelity,50,0.870603864580155,0.03133109330898942,0.861699666382497,0.8795080627778131
single_shape,TinyCNN,release_default,validation_patch,8,prob_error_reduction,50,1.8666744266822934,0.08630671263808062,1.8421463303423773,1.8912025230222096
single_shape,TinyCNN,release_default,validation_patch,9,prob_fidelity,50,0.9760195455621296,0.023612593215578816,0.9693089208201623,0.9827301703040968
single_shape,TinyCNN,release_default,validation_patch,9,centered_logit_fidelity,50,0.9048595776854921,0.0255920735596436,0.897586390854226,0.9121327645167582
single_shape,TinyCNN,release_default,validation_patch,9,prob_error_reduction,50,1.9343181341234594,0.047331870456434305,1.9208665653750097,1.9477697028719092
single_shape,TinyCNN,release_default,validation_patch,10,prob_fidelity,50,0.9912725352009772,0.011843833305062175,0.987906555018663,0.9946385153832915
single_shape,TinyCNN,release_default,validation_patch,10,centered_logit_fidelity,50,0.931537830245574,0.01919904484804517,0.9260815220712381,0.93699413841991
single_shape,TinyCNN,release_default,validation_patch,10,prob_error_reduction,50,1.9645470054261387,0.024475826222022243,1.9575910525781801,1.9715029582740973
single_shape,TinyCNN,release_default,validation_patch,11,prob_fidelity,50,0.9971758823668547,0.003366082623316195,0.9962192522699694,0.99813251246374
single_shape,TinyCNN,release_default,validation_patch,11,centered_logit_fidelity,50,0.9529320747555933,0.014245348684259699,0.9488835914540864,0.9569805580571001
single_shape,TinyCNN,release_default,validation_patch,11,prob_error_reduction,50,1.976248260217253,0.009948608861251401,1.9734208968623286,1.9790756235721776
single_shape,TinyCNN,release_default,validation_patch,12,prob_fidelity,50,0.9991153455375203,0.0009071567885548487,0.9988575344307714,0.9993731566442693
single_shape,TinyCNN,release_default,validation_patch,12,centered_logit_fidelity,50,0.970366051081552,0.009915685597500327,0.9675480444146581,0.973184057748446
single_shape,TinyCNN,release_default,validation_patch,12,prob_error_reduction,50,1.9800922218585038,0.007669497234236601,1.9779125748613005,1.982271868855707
