architecture,method,k,metric,block,delta
TinyCNN,validation_patch,4,centered_logit_fidelity,4012,-0.037216784402010705
TinyCNN,validation_patch,4,centered_logit_fidelity,4013,-0.023913345560783283
TinyCNN,validation_patch,4,centered_logit_fidelity,4014,-0.017811523291894837
TinyCNN,validation_patch,4,centered_logit_fidelity,4015,-0.0022389192148631887
TinyCNN,validation_patch,4,centered_logit_fidelity,4016,-0.01731097295450479
TinyCNN,validation_patch,4,centered_logit_fidelity,4017,-0.01882052928409117
TinyCNN,validation_patch,4,centered_logit_fidelity,4018,-0.04413333000753805
TinyCNN,validation_patch,4,centered_logit_fidelity,4019,0.011641218960183108
TinyCNN,validation_patch,8,centered_logit_fidelity,4000,0.01870344892407283
TinyCNN,validation_patch,8,centered_logit_fidelity,4001,0.008165568809378798
TinyCNN,validation_patch,8,centered_logit_fidelity,4002,-0.005134443800067001
TinyCNN,validation_patch,8,centered_logit_fidelity,4003,0.02337513254054191
TinyCNN,validation_patch,8,centered_logit_fidelity,4004,5.482048627059033e-05
TinyCNN,validation_patch,8,centered_logit_fidelity,4005,0.0006030935659651071
TinyCNN,validation_patch,8,centered_logit_fidelity,4006,0.012223358224266234
TinyCNN,validation_patch,8,centered_logit_fidelity,4007,0.004281424641443321
TinyCNN,validation_patch,8,centered_logit_fidelity,4008,0.004439258686311454
TinyCNN,validation_patch,8,centered_logit_fidelity,4009,0.009733589529233755
TinyCNN,validation_patch,8,centered_logit_fidelity,4010,0.017598932281328028
TinyCNN,validation_patch,8,centered_logit_fidelity,4011,0.010178504642167518
TinyCNN,validation_patch,8,centered_logit_fidelity,4012,-0.0017717301011708209
TinyCNN,validation_patch,8,centered_logit_fidelity,4013,0.012206778245864802
TinyCNN,validation_patch,8,centered_logit_fidelity,4014,0.00491108987350708
TinyCNN,validation_patch,8,centered_logit_fidelity,4015,0.003656352896779902
TinyCNN,validation_patch,8,centered_logit_fidelity,4016,0.01642311220047754
TinyCNN,validation_patch,8,centered_logit_fidelity,4017,0.0058086010452261805
TinyCNN,validation_patch,8,centered_logit_fidelity,4018,0.004308285778859111
TinyCNN,validation_patch,8,centered_logit_fidelity,4019,0.008931084563949976
TwoLayerCNN,contrast,1,centered_logit_fidelity,4000,0.0014133134530514013
TwoLayerCNN,contrast,1,centered_logit_fidelity,4001,0.041805213679463216
TwoLayerCNN,contrast,1,centered_logit_fidelity,4002,-0.013029673541479547
TwoLayerCNN,contrast,1,centered_logit_fidelity,4003,-0.009717544776829512
TwoLayerCNN,contrast,1,centered_logit_fidelity,4004,0.04996134339265257
TwoLayerCNN,contrast,1,centered_logit_fidelity,4005,-0.008747738458455556
TwoLayerCNN,contrast,1,centered_logit_fidelity,4006,0.007802834458724317
TwoLayerCNN,contrast,1,centered_logit_fidelity,4007,-0.07120028666035783
TwoLayerCNN,contrast,1,centered_logit_fidelity,4008,0.027226272608308122
TwoLayerCNN,contrast,1,centered_logit_fidelity,4009,-0.003343412839388993
TwoLayerCNN,contrast,1,centered_logit_fidelity,4010,-0.17618598926354379
TwoLayerCNN,contrast,1,centered_logit_fidelity,4011,-0.027178790009924514
TwoLayerCNN,contrast,1,centered_logit_fidelity,4012,-0.0019497956007323847
TwoLayerCNN,contrast,1,centered_logit_fidelity,4013,0.0156270393673813
TwoLayerCNN,contrast,1,centered_logit_fidelity,4014,0.01271317856134857
TwoLayerCNN,contrast,1,centered_logit_fidelity,4015,0.058274178333752924
TwoLayerCNN,contrast,1,centered_logit_fidelity,4016,0.029966609803025124
TwoLayerCNN,contrast,1,centered_logit_fidelity,4017,0.0007207179390692486
TwoLayerCNN,contrast,1,centered_logit_fidelity,4018,-0.0067059666090288905
TwoLayerCNN,contrast,1,centered_logit_fidelity,4019,-0.01575260975571824
TwoLayerCNN,contrast,2,centered_logit_fidelity,4000,-0.03889107316004814
TwoLayerCNN,contrast,2,centered_logit_fidelity,4001,0.10262472284105717
TwoLayerCNN,contrast,2,centered_logit_fidelity,4002,-0.031900501676280224
TwoLayerCNN,contrast,2,centered_logit_fidelity,4003,-0.040394238567183605
TwoLayerCNN,contrast,2,centered_logit_fidelity,4004,-0.0006804292512478938
TwoLayerCNN,contrast,2,centered_logit_fidelity,4005,-0.011687909942576402
TwoLayerCNN,contrast,2,centered_logit_fidelity,4006,-0.07286223433861017
TwoLayerCNN,contrast,2,centered_logit_fidelity,4007,-0.08984100557543562
TwoLayerCNN,contrast,2,centered_logit_fidelity,4008,-0.006786303001916294
TwoLayerCNN,contrast,2,centered_logit_fidelity,4009,-0.006369706137416831
TwoLayerCNN,contrast,2,centered_logit_fidelity,4010,-0.14486993724141428
TwoLayerCNN,contrast,2,centered_logit_fidelity,4011,-0.10117423919881519
TwoLayerCNN,contrast,2,centered_logit_fidelity,4012,-0.07425109856339385
TwoLayerCNN,contrast,2,centered_logit_fidelity,4013,-0.015022779404776032
TwoLayerCNN,contrast,2,centered_logit_fidelity,4014,0.026052220287540506
TwoLayerCNN,contrast,2,centered_logit_fidelity,4015,-0.0033129998600081034
TwoLayerCNN,contrast,2,centered_logit_fidelity,4016,0.08734829903786112
TwoLayerCNN,contrast,2,centered_logit_fidelity,4017,-0.09234485815255644
TwoLayerCNN,contrast,2,centered_logit_fidelity,4018,-0.02183908215489183
TwoLayerCNN,contrast,2,centered_logit_fidelity,4019,0.014241103930328292
TwoLayerCNN,contrast,4,centered_logit_fidelity,4000,-0.10919708892177893
TwoLayerCNN,contrast,4,centered_logit_fidelity,4001,0.08713227850907079
TwoLayerCNN,contrast,4,centered_logit_fidelity,4002,-0.11023354446716305
TwoLayerCNN,contrast,4,centered_logit_fidelity,4003,-0.04536816613131389
TwoLayerCNN,contrast,4,centered_logit_fidelity,4004,-0.07244266858371262
TwoLayerCNN,contrast,4,centered_logit_fidelity,4005,-0.07455078893652667
TwoLayerCNN,contrast,4,centered_logit_fidelity,4006,-0.017607118237451536
TwoLayerCNN,contrast,4,centered_logit_fidelity,4007,-0.04163707091580682
TwoLayerCNN,contrast,4,centered_logit_fidelity,4008,-0.1191591019773961
TwoLayerCNN,contrast,4,centered_logit_fidelity,4009,-0.0881594158506267
TwoLayerCNN,contrast,4,centered_logit_fidelity,4010,0.01269379054177211
TwoLayerCNN,contrast,4,centered_logit_fidelity,4011,-0.1762744205807515
TwoLayerCNN,contrast,4,centered_logit_fidelity,4012,-0.05207198935103163
TwoLayerCNN,contrast,4,centered_logit_fidelity,4013,0.0016116656333368118
TwoLayerCNN,contrast,4,centered_logit_fidelity,4014,0.013055155929243889
TwoLayerCNN,contrast,4,centered_logit_fidelity,4015,-0.008274321987078781
TwoLayerCNN,contrast,4,centered_logit_fidelity,4016,-0.061165361060886436
TwoLayerCNN,contrast,4,centered_logit_fidelity,4017,-0.07843908237224595
TwoLayerCNN,contrast,4,centered_logit_fidelity,4018,-0.09582500200662769
TwoLayerCNN,contrast,4,centered_logit_fidelity,4019,-0.054365613788516676
TwoLayerCNN,contrast,8,centered_logit_fidelity,4000,-0.04938381335044828
TwoLayerCNN,contrast,8,centered_logit_fidelity,4001,0.08238838070133525
TwoLayerCNN,contrast,8,centered_logit_fidelity,4002,0.040124295115994024
TwoLayerCNN,contrast,8,centered_logit_fidelity,4003,0.02474978337157474
TwoLayerCNN,contrast,8,centered_logit_fidelity,4004,0.04096672341304952
TwoLayerCNN,contrast,8,centered_logit_fidelity,4005,-0.007477995703239149
TwoLayerCNN,contrast,8,centered_logit_fidelity,4006,0.015283135747142351
TwoLayerCNN,contrast,8,centered_logit_fidelity,4007,0.03213135723292748
TwoLayerCNN,contrast,8,centered_logit_fidelity,4008,-0.04336717361042619
TwoLayerCNN,contrast,8,centered_logit_fidelity,4009,0.0490273160593393
TwoLayerCNN,contrast,8,centered_logit_fidelity,4010,-0.010928074817056932
TwoLayerCNN,contrast,8,centered_logit_fidelity,4011,-0.03355905762056188
TwoLayerCNN,contrast,8,centered_logit_fidelity,4012,0.0691365367587582
TwoLayerCNN,contrast,8,centered_logit_fidelity,4013,0.04743723370234443
TwoLayerCNN,contrast,8,centered_logit_fidelity,4014,0.06978016538854348
TwoLayerCNN,contrast,8,centered_logit_fidelity,4015,-0.037031273936636855
TwoLayerCNN,contrast,8,centered_logit_fidelity,4016,-0.03087572761601265
TwoLayerCNN,contrast,8,centered_logit_fidelity,4017,0.08029428729155175
TwoLayerCNN,contrast,8,centered_logit_fidelity,4018,0.04262975539706715
TwoLayerCNN,contrast,8,centered_logit_fidelity,4019,0.02531840053240275
TwoLayerCNN,auroc,1,centered_logit_fidelity,4000,0.0014133134530514013
TwoLayerCNN,auroc,1,centered_logit_fidelity,4001,0.041805213679463216
TwoLayerCNN,auroc,1,centered_logit_fidelity,4002,-0.013029673541479547
TwoLayerCNN,auroc,1,centered_logit_fidelity,4003,-0.057190528293388
